case,channel,argument_type,records,group_total,share
ERC-8004,forum,Economic,4,113,0.035398
ERC-8004,forum,Governance-Principle,6,113,0.053097
ERC-8004,forum,Off-topic,4,113,0.035398
ERC-8004,forum,Process,4,113,0.035398
ERC-8004,forum,Technical,95,113,0.840708
ERC-8004,github_review,Governance-Principle,1,29,0.034483
ERC-8004,github_review,Off-topic,2,29,0.068966
ERC-8004,github_review,Process,16,29,0.551724
ERC-8004,github_review,Technical,10,29,0.344828
Google-A2A,github_discussion,Economic,3,802,0.003741
Google-A2A,github_discussion,Governance-Principle,28,802,0.034913
Google-A2A,github_discussion,Neutral,3,802,0.003741
Google-A2A,github_discussion,Off-topic,126,802,0.157107
Google-A2A,github_discussion,Process,86,802,0.107232
Google-A2A,github_discussion,Technical,555,802,0.692020
Google-A2A,github_discussion,Unknown,1,802,0.001247
Google-A2A,github_issue,Economic,6,2136,0.002809
Google-A2A,github_issue,Governance-Principle,27,2136,0.012640
Google-A2A,github_issue,Neutral,4,2136,0.001873
Google-A2A,github_issue,Off-topic,122,2136,0.057116
Google-A2A,github_issue,Process,448,2136,0.209738
Google-A2A,github_issue,Technical,1529,2136,0.715824
Google-A2A,github_pr,Governance-Principle,12,1243,0.009654
Google-A2A,github_pr,Neutral,1,1243,0.000805
Google-A2A,github_pr,Off-topic,93,1243,0.074819
Google-A2A,github_pr,Process,207,1243,0.166533
Google-A2A,github_pr,Technical,930,1243,0.748190
