case,quarter,argument_type,records,group_total,share
ERC-8004,2025Q3,Economic,4,91,0.043956
ERC-8004,2025Q3,Governance-Principle,4,91,0.043956
ERC-8004,2025Q3,Off-topic,2,91,0.021978
ERC-8004,2025Q3,Process,8,91,0.087912
ERC-8004,2025Q3,Technical,73,91,0.802198
ERC-8004,2025Q4,Governance-Principle,1,22,0.045455
ERC-8004,2025Q4,Off-topic,2,22,0.090909
ERC-8004,2025Q4,Process,2,22,0.090909
ERC-8004,2025Q4,Technical,17,22,0.772727
ERC-8004,2026Q1,Governance-Principle,2,29,0.068966
ERC-8004,2026Q1,Off-topic,2,29,0.068966
ERC-8004,2026Q1,Process,10,29,0.344828
ERC-8004,2026Q1,Technical,15,29,0.517241
Google-A2A,2025Q2,Economic,5,1952,0.002561
Google-A2A,2025Q2,Governance-Principle,15,1952,0.007684
Google-A2A,2025Q2,Neutral,3,1952,0.001537
Google-A2A,2025Q2,Off-topic,215,1952,0.110143
Google-A2A,2025Q2,Process,385,1952,0.197234
Google-A2A,2025Q2,Technical,1329,1952,0.680840
Google-A2A,2025Q3,Economic,1,895,0.001117
Google-A2A,2025Q3,Governance-Principle,22,895,0.024581
Google-A2A,2025Q3,Off-topic,76,895,0.084916
Google-A2A,2025Q3,Process,142,895,0.158659
Google-A2A,2025Q3,Technical,653,895,0.729609
Google-A2A,2025Q3,Unknown,1,895,0.001117
Google-A2A,2025Q4,Governance-Principle,14,705,0.019858
Google-A2A,2025Q4,Neutral,4,705,0.005674
Google-A2A,2025Q4,Off-topic,24,705,0.034043
Google-A2A,2025Q4,Process,110,705,0.156028
Google-A2A,2025Q4,Technical,553,705,0.784397
Google-A2A,2026Q1,Economic,3,629,0.004769
Google-A2A,2026Q1,Governance-Principle,16,629,0.025437
Google-A2A,2026Q1,Neutral,1,629,0.001590
Google-A2A,2026Q1,Off-topic,26,629,0.041335
Google-A2A,2026Q1,Process,104,629,0.165342
Google-A2A,2026Q1,Technical,479,629,0.761526
