canonical_handle,display_name,case,institution_final,institution_source,role,case_records,total_records,argument_types_summary,stances_summary,threads_touched,bio_snippet
MarcoMetaMask,Marco De Rossi,ERC-8004,MetaMask,github_company_field,Proposer,17,17,Technical:13; Process:1; Governance-Principle:1,Neutral:7; Support:5; Modify:2; Oppose:1,PR#1244; PR#1458; PR#1462,AI Lead at @MetaMask 🦊 Founded & scaled companies in EdTech & Web3. On a mission to build and spread
pcarranzav,Pablo,ERC-8004,Independent,lm_inferred,Core Developer,16,8,Technical:8,Modify:5; Oppose:3,,
spengrah,Spencer Graham,ERC-8004,Independent,lm_inferred,Core Developer,10,5,Technical:5,Modify:4; Oppose:1,,
felixnorden,Felix Nordén,ERC-8004,Independent,lm_inferred,Proposer,10,5,Technical:5,Modify:3; Support:2,,
dcrapis,Davide Crapis,ERC-8004,Independent,lm_inferred,Proposer,9,9,Technical:6; Process:2; Governance-Principle:1,Neutral:4; Support:4; Modify:1,PR#1170,
azanux,Charles,ERC-8004,Independent,lm_inferred,Occasional Contributor,8,4,Technical:3; Economic:1,Modify:3; Neutral:1,,
SumeetChougule,Sumeet Chougule,ERC-8004,Independent,lm_inferred,Proposer,8,4,Technical:3; Economic:1,Support:3; Modify:1,,Creating ChaosChain at Nethermind | Astrophysicist
mlegls,疒奀,ERC-8004,Independent,lm_inferred,Proposer,6,3,Technical:3,Support:1; Modify:1; Neutral:1,,github: github.com/mlegls telegram: t.me/mlegls
zonu,zonu,ERC-8004,Independent,lm_inferred,Occasional Contributor,6,3,Technical:3,Neutral:2; Modify:1,,
matevz-oasis,matevz-oasis,ERC-8004,Independent,lm_inferred,Proposer,6,3,Technical:3,Support:1; Modify:1; Neutral:1,,
lightclient,lightclient,ERC-8004,Ethereum Foundation,lm_inferred,Reviewer,5,5,Technical:2,Modify:2,PR#1170; PR#1244,
daniel-ospina,Daniel Ospina,ERC-8004,Independent,lm_inferred,Occasional Contributor,4,2,Technical:2,Oppose:1; Neutral:1,,
KBryan,kwame,ERC-8004,Independent,lm_inferred,Reviewer,4,2,Process:1; Technical:1,Neutral:2,,
Nithin-Varma,Nithin Mengani,ERC-8004,Independent,lm_inferred,Occasional Contributor,4,2,Economic:1; Technical:1,Modify:1; Neutral:1,,
deiu,deiu,ERC-8004,Independent,lm_inferred,Occasional Contributor,4,2,Technical:2,Neutral:2,,
bransdotcom,bransdotcom,ERC-8004,Independent,lm_inferred,Occasional Contributor,4,2,Technical:2,Modify:2,,
orgtrust.eth,Richard Pedersen,ERC-8004,Independent,lm_inferred,Occasional Contributor,4,2,Technical:2,Modify:1; Neutral:1,,
voidcenter,Justin Zhang,ERC-8004,Independent,lm_inferred,Proposer,4,4,Technical:2; Process:1; Off-topic:1,Support:1; Modify:1; Neutral:1; Off-topic:1,I#399,
Moshiii,Moshi Wei,ERC-8004,Independent,lm_inferred,Occasional Contributor,4,2,Governance-Principle:1; Technical:1,Support:2,,
denverbaumgartner,denver,ERC-8004,Independent,lm_inferred,Occasional Contributor,4,2,Technical:2,Modify:2,,
weedeej,Dixie J.,ERC-8004,Independent,lm_inferred,Occasional Contributor,4,2,Technical:2,Support:1; Neutral:1,,
Cyberpaisa,Cyber,ERC-8004,Independent,lm_inferred,Occasional Contributor,4,2,Technical:2,Support:2,,
holtskinner,Holt Skinner,Google-A2A,Google,github_company_field,Proposer,439,439,Technical:239; Process:158; Off-topic:38; Governance-Principle:4,Neutral:216; Modify:109; Support:75; Off-topic:21; Oppose:17; N/A:1,I#1077; I#423; I#430; I#431; I#432; I#433; I#816; I#951; I#998; PR#1015,"Developer Advocate, Google Cloud AI"
darrelmiller,Darrel,Google-A2A,Microsoft,github_company_field,Proposer,286,286,Technical:219; Process:57; Off-topic:5; Governance-Principle:5,Neutral:94; Modify:87; Support:79; Oppose:23; Off-topic:2; N/A:1,I#1058; I#1142; I#1156; I#1158; I#1197; I#1215; I#1216; I#1217; I#1227; I#1228,"Partner API Architect, IETF HTTPAPI WG Chair, LF A2A TSC Member, Former OpenAPI Specification Edit"
