case,author_handle,display_name,degree,betweenness_centrality,institution_current,institution_confidence,institution_source,institution_evidence,manual_override,verified_institution
ERC-8004,abcoathup,Andrew B Coathup,51,0.208589,Ethereal.news,Confirmed,manual_R07,"GitHub company field @ethereal-news; bio ""Editor of @Ethereal-news"". https://github.com/abcoathup",,
ERC-8004,TMerlini,TMerlini,130,0.11227,Unknown,LM_inferred,,,,
ERC-8004,Nicopat,Nicopat,122,0.044185,Unknown,LM_inferred,,,,
ERC-8004,nxt3d,premm.eth,100,0.040612,Unruggable Labs,Confirmed,manual_R07,"GitHub bio ""Unruggable Labs""。https://github.com/nxt3d",,
ERC-8004,Damonzwicker,Damonzwicker,122,0.039294,Unknown,LM_inferred,,,,
ERC-8004,Cybercentry,Cybercentry,13,0.032455,Unknown,LM_inferred,,,,
ERC-8004,JimmyShi22,JimmyShi22,117,0.031214,Unknown,LM_inferred,,,,
ERC-8004,KBryan,kwame,115,0.026852,Independent,Confirmed,manual_R07,No public information available,,
ERC-8004,davidecrapis.eth,Davide Crapis,115,0.025371,Ethereum Foundation,Confirmed,eip_header_email,EIP header email: davide@ethereum.org,,
ERC-8004,Ludovico.r,Ludovico.r,99,0.022651,Unknown,LM_inferred,,,,
ERC-8004,bransdotcom,bransdotcom,102,0.021114,Independent,Confirmed,manual_R07,No public information available,,
ERC-8004,nftprof,nftprof,113,0.020438,Unknown,LM_inferred,,,,
ERC-8004,deiu,deiu,93,0.018608,Independent,Confirmed,manual_R07,No public information available,,
ERC-8004,xhronos444,xhronos444,3,0.017949,Unknown,LM_inferred,,,,
ERC-8004,babyblueviper1,babyblueviper1,97,0.015423,Unknown,LM_inferred,,,,
ERC-8004,ibonon,ibonon,95,0.015374,Unknown,LM_inferred,,,,
ERC-8004,jkm.eth,jkm.eth,98,0.013751,Unknown,LM_inferred,,,,
ERC-8004,cmayorga,cmayorga,36,0.013233,Unknown,LM_inferred,,,,
ERC-8004,Traciecmyers,Traciecmyers,93,0.012614,Unknown,LM_inferred,,,,
Google-A2A,ognis1205,Shingo OKAWA,104,0.031803,Independent,Confirmed,manual_R07,"GitHub company field ""@quantum-tda""(quantum topological data analysis research team); independent research",,
Google-A2A,vishalmysore,vishalmysore,38,0.01536,Unknown,LM_inferred,,,,
Google-A2A,darrelmiller,Darrel,62,0.007352,Microsoft,Confirmed,manual_R07,"GitHub company field ""Microsoft""; bio ""Partner API Architect, IETF HTTPAPI WG Chair, LF A2A TSC Member"". https://github.com/darrelmiller",,
Google-A2A,lukehinds,lukehinds,64,0.006156,Independent,LM_inferred,lm_inferred,,,
Google-A2A,benclarkeio,benclarkeio,58,0.005469,Independent,LM_inferred,lm_inferred,,,
Google-A2A,EditUndo,EditUndo,39,0.005292,Independent,LM_inferred,lm_inferred,,,
