source,target,type,weight
chorghemaruti64-creator,imran-siddique,co_comment,3.0
amye,chorghemaruti64-creator,co_comment,2.584962500721156
amye,darrelmiller,co_comment,5.392317422778761
amye,mikeas1,co_comment,2.0
chorghemaruti64-creator,darrelmiller,co_comment,4.321928094887362
chorghemaruti64-creator,mikeas1,co_comment,2.584962500721156
darrelmiller,mikeas1,co_comment,4.906890595608519
Tehsmash,chorghemaruti64-creator,co_comment,2.584962500721156
Tehsmash,darrelmiller,co_comment,5.700439718141092
Tehsmash,mikeas1,co_comment,3.321928094887362
chorghemaruti64-creator,vinoo999,co_comment,2.0
darrelmiller,vinoo999,co_comment,3.321928094887362
The-Nexus-Guard,chorghemaruti64-creator,co_comment,3.584962500721156
The-Nexus-Guard,imran-siddique,co_comment,2.0
alexec,chorghemaruti64-creator,co_comment,2.584962500721156
The-Nexus-Guard,yarolegovich,co_comment,2.0
darrelmiller,yarolegovich,co_comment,4.700439718141093
ishymko,yarolegovich,co_comment,2.0
The-Nexus-Guard,alexec,co_comment,2.0
alexec,vinoo999,co_comment,2.584962500721156
amye,muscariello,co_comment,3.584962500721156
mikeas1,yarolegovich,co_comment,3.0
edenreich,mikeas1,co_comment,2.0
darrelmiller,matoushavlena,co_comment,3.321928094887362
holtskinner,muscariello,co_comment,4.169925001442312
holtskinner,vinoo999,co_comment,3.0
muscariello,vinoo999,co_comment,2.584962500721156
Tehsmash,herczyn,co_comment,3.321928094887362
Tehsmash,holtskinner,co_comment,3.807354922057604
darrelmiller,herczyn,co_comment,3.321928094887362
darrelmiller,holtskinner,co_comment,5.807354922057604
herczyn,holtskinner,co_comment,2.584962500721156
Tehsmash,edenreich,co_comment,2.0
matoushavlena,yarolegovich,co_comment,2.0
Tehsmash,alexec,co_comment,2.0
Tehsmash,amye,co_comment,4.321928094887362
Tehsmash,matoushavlena,co_comment,2.0
Tehsmash,pstephengoogle,co_comment,2.584962500721156
alexec,amye,co_comment,2.0
alexec,darrelmiller,co_comment,2.0
alexec,matoushavlena,co_comment,2.0
alexec,pstephengoogle,co_comment,2.0
amye,matoushavlena,co_comment,2.584962500721156
amye,pstephengoogle,co_comment,3.0
darrelmiller,pstephengoogle,co_comment,4.584962500721156
matoushavlena,pstephengoogle,co_comment,2.0
Tehsmash,vinoo999,co_comment,2.584962500721156
Tehsmash,yarolegovich,co_comment,3.321928094887362
amye,vinoo999,co_comment,2.0
amye,yarolegovich,co_comment,2.584962500721156
vinoo999,yarolegovich,co_comment,2.584962500721156
Tehsmash,madankumarpichamuthu,co_comment,3.321928094887362
darrelmiller,madankumarpichamuthu,co_comment,3.584962500721156
amye,madankumarpichamuthu,co_comment,2.0
Tehsmash,muscariello,co_comment,3.321928094887362
darrelmiller,muscariello,co_comment,4.584962500721156
