case,model,field,round_pair,kappa,n
erc,deepseek-v4-flash,argument_type,R1-R2,0.6474,1664
erc,deepseek-v4-flash,argument_type,R1-R3,0.6235,1664
erc,deepseek-v4-flash,argument_type,R2-R3,0.6307,1664
erc,deepseek-v4-flash,argument_type,Fleiss-3R,0.6338,1664
erc,deepseek-v4-flash,stance,R1-R2,0.5624,1664
erc,deepseek-v4-flash,stance,R1-R3,0.5695,1664
erc,deepseek-v4-flash,stance,R2-R3,0.5317,1664
erc,deepseek-v4-flash,stance,Fleiss-3R,0.554,1664
erc,deepseek-v4-flash,consensus_signal,R1-R2,0.5411,1664
erc,deepseek-v4-flash,consensus_signal,R1-R3,0.5062,1664
erc,deepseek-v4-flash,consensus_signal,R2-R3,0.4821,1664
erc,deepseek-v4-flash,consensus_signal,Fleiss-3R,0.5073,1664
erc,glm-4-plus,argument_type,R1-R2,0.9357,1664
erc,glm-4-plus,argument_type,R1-R3,0.9113,1664
erc,glm-4-plus,argument_type,R2-R3,0.9293,1664
erc,glm-4-plus,argument_type,Fleiss-3R,0.9254,1664
erc,glm-4-plus,stance,R1-R2,0.9177,1664
erc,glm-4-plus,stance,R1-R3,0.8816,1664
erc,glm-4-plus,stance,R2-R3,0.914,1664
erc,glm-4-plus,stance,Fleiss-3R,0.9044,1664
erc,glm-4-plus,consensus_signal,R1-R2,0.8682,1664
erc,glm-4-plus,consensus_signal,R1-R3,0.8381,1664
erc,glm-4-plus,consensus_signal,R2-R3,0.8757,1664
erc,glm-4-plus,consensus_signal,Fleiss-3R,0.8606,1664
erc,moonshot-v1-auto,argument_type,R1-R2,0.9774,1664
erc,moonshot-v1-auto,argument_type,R1-R3,0.9707,1664
erc,moonshot-v1-auto,argument_type,R2-R3,0.9798,1664
erc,moonshot-v1-auto,argument_type,Fleiss-3R,0.976,1664
erc,moonshot-v1-auto,stance,R1-R2,0.954,1664
erc,moonshot-v1-auto,stance,R1-R3,0.9569,1664
erc,moonshot-v1-auto,stance,R2-R3,0.9569,1664
erc,moonshot-v1-auto,stance,Fleiss-3R,0.9559,1664
erc,moonshot-v1-auto,consensus_signal,R1-R2,0.942,1664
erc,moonshot-v1-auto,consensus_signal,R1-R3,0.9452,1664
erc,moonshot-v1-auto,consensus_signal,R2-R3,0.9377,1664
erc,moonshot-v1-auto,consensus_signal,Fleiss-3R,0.9416,1664
a2a,deepseek-v4-flash,argument_type,R1-R2,0.5817,4187
a2a,deepseek-v4-flash,argument_type,R1-R3,0.5777,4187
a2a,deepseek-v4-flash,argument_type,R2-R3,0.6021,4187
a2a,deepseek-v4-flash,argument_type,Fleiss-3R,0.5871,4187
a2a,deepseek-v4-flash,stance,R1-R2,0.5508,4187
a2a,deepseek-v4-flash,stance,R1-R3,0.534,4187
a2a,deepseek-v4-flash,stance,R2-R3,0.5838,4187
a2a,deepseek-v4-flash,stance,Fleiss-3R,0.5559,4187
a2a,deepseek-v4-flash,consensus_signal,R1-R2,0.5082,4187
a2a,deepseek-v4-flash,consensus_signal,R1-R3,0.4846,4187
a2a,deepseek-v4-flash,consensus_signal,R2-R3,0.5298,4187
a2a,deepseek-v4-flash,consensus_signal,Fleiss-3R,0.5043,4187
a2a,glm-4-plus,argument_type,R1-R2,0.8895,4187
a2a,glm-4-plus,argument_type,R1-R3,0.8845,4187
a2a,glm-4-plus,argument_type,R2-R3,0.9761,4187
a2a,glm-4-plus,argument_type,Fleiss-3R,0.9168,4187
a2a,glm-4-plus,stance,R1-R2,0.8433,4187
a2a,glm-4-plus,stance,R1-R3,0.8415,4187
a2a,glm-4-plus,stance,R2-R3,0.9533,4187
a2a,glm-4-plus,stance,Fleiss-3R,0.8796,4187
a2a,glm-4-plus,consensus_signal,R1-R2,0.7908,4187
a2a,glm-4-plus,consensus_signal,R1-R3,0.7863,4187
a2a,glm-4-plus,consensus_signal,R2-R3,0.9302,4187
a2a,glm-4-plus,consensus_signal,Fleiss-3R,0.8352,4187
a2a,moonshot-v1-auto,argument_type,R1-R2,0.9671,4187
a2a,moonshot-v1-auto,argument_type,R1-R3,0.9651,4187
a2a,moonshot-v1-auto,argument_type,R2-R3,0.9656,4187
a2a,moonshot-v1-auto,argument_type,Fleiss-3R,0.9659,4187
a2a,moonshot-v1-auto,stance,R1-R2,0.9503,4187
a2a,moonshot-v1-auto,stance,R1-R3,0.9517,4187
a2a,moonshot-v1-auto,stance,R2-R3,0.9538,4187
a2a,moonshot-v1-auto,stance,Fleiss-3R,0.9519,4187
a2a,moonshot-v1-auto,consensus_signal,R1-R2,0.9281,4187
a2a,moonshot-v1-auto,consensus_signal,R1-R3,0.9262,4187
a2a,moonshot-v1-auto,consensus_signal,R2-R3,0.932,4187
a2a,moonshot-v1-auto,consensus_signal,Fleiss-3R,0.9288,4187
