id,weight,thread_count
SteveJamesDev,1,1
Areo-Joe,2,2
jpandrade30,1,1
irshadnilam,3,2
CHARLIE1210-A,12,2
whitlockjc,10,8
codefromthecrypt,4,3
c-mysec,11,7
mjunaidca,2,2
vishalmysore,38,28
ognis1205,108,41
fernando-torres-blip-ai,4,2
kpavlov,1,1
silverheartshafiq,1,1
beonde,8,6
git-vote,25,25
dbkalaria,1,1
AIXerum,1,1
ericksonc,1,1
lifieai,3,3
EditUndo,20,10
aazizisoufiane,1,1
alinaqi,1,1
ToddSegal,4,4
muscariello,14,11
z-a-f,1,1
chenglin130,1,1
matoushavlena,7,7
11Warrior,1,1
ydennisy,8,4
tiswanso,2,1
patwhite,8,4
anjanas,2,1
Realsid,1,1
hamidra,1,1
3nsai,1,1
darrelmiller,59,51
herczyn,15,15
fapont,1,1
brycewcole,3,1
staverm,1,1
vinoo999,13,13
benclarkeio,12,11
lukaszkostrzewa,2,1
dayuyang1999,3,1
kyleacmooney,2,2
wjcwjc77,1,1
nikhilmaddirala,1,1
101scholar,3,3
bobtista,1,1
shyam-habarakada,1,1
mrorigo,2,1
Boburmirzo,1,1
JMLX42,1,1
lucamontin,1,1
prosa21,1,1
alexec,12,12
rrrodzilla,1,1
kurt-r2c,2,1
aimable100,2,1
ppattanayak,1,1
HadjievK,2,2
nandana,1,1
ai-boost,14,4
jeletor,2,1
zeroasterisk,13,10
gulercan,2,1
JKHeadley,9,6
ruanspies,1,1
tatanka1212,3,2
Zephyr-Blessed,2,1
pab1it0,1,1
vizmut-labs,7,2
marelab,2,1
zamorofthat,2,1
bigmac7,1,1
alan-silverstreams,3,3
elCaptnCode,2,1
widrss,3,3
maxekman,3,1
pcingola,2,1
dibenedetto,1,1
Francosimon53,1,1
ashubham,1,1
gianpaj,1,1
ibrahimokuyucu,2,2
chris-j-handel,1,1
marketmaker4enterprise,1,1
skyfire-ammar,1,1
alain-sv,1,1
IhateCreatingUserNames2,4,2
kthota-g,33,29
sfitts,5,2
cdavernas,5,4
robert-at-pretension-io,5,5
akintunca,2,2
rajhanshdhami,4,1
rajeshvelicheti,8,7
liuming-dev,1,1
MG1-4,4,4
whitestone0712,1,1
Hekafin,1,1
ravneetgrewal,1,1
egor-baranov,5,5
gregboero,3,2
robomotic,5,3
danja,2,2
lukehinds,28,15
mihaimaruseac,4,1
arunim1,1,1
mikeas1,25,21
vsvn-tungnk,1,1
f,1,1
sarvarimamov,1,1
QuantumDaveLdn,2,1
xtrasmal,6,5
xray918,2,1
davrous,1,1
grll,3,2
RoyAmitabh,1,1
sreejit-a,1,1
jamesev15,1,1
bgauryy,2,1
jlfolland,2,2
pvlasov,1,1
aiagentexpert,1,1
Driley142,1,1
everettVT,4,2
rohit2k21,3,1
nextpulse,1,1
DJ-os,9,9
nicholasbreckwoldt,1,1
jrcks67,1,1
ossfellow,1,1
y-d-y,1,1
blkt,5,2
stkang90,1,1
sahilcreator07,1,1
rootwarp,1,1
Linux2010,17,17
YuqingZhao,1,1
cciwami,1,1
gilamsalem,2,1
yuqingzcn,1,1
decode-mayank,2,2
3102-Labs,1,1
loganwolfe-ims,1,1
Jaland,1,1
holtskinner,48,48
mikesir87,2,1
developer-dexwox,1,1
izzymsft,20,15
priyankjecrc,2,2
ymmt2005,1,1
Ivanye2509,1,1
Crokily,1,1
Kevin1466,3,3
Casteel13,1,1
meharuno,1,1
glushenkovIG,2,2
krebznet,1,1
vibnimit,1,1
justin-octo,1,1
dchrty,2,2
sing1ee,5,4
ZhangVampire,1,1
DracoBlue,9,7
andrewdavidmackenzie,2,2
sarahjaz,1,1
alampolee,2,1
debug313,1,1
Pray4Love1,1,1
pstephengoogle,19,15
AlbumenJ,2,1
melvinjlobos,1,1
swapydapy,8,6
mikestaub,1,1
tomsun28,4,4
lalrow,2,2
HeetVekariya,5,3
eilon-shai,2,1
DavidMaister,1,1
brasseld,1,1
mukteshkrmishra,2,1
SecureAgentTools,15,1
EliasLumer,1,1
Roye-Wy,1,1
ruFFaa,1,1
lj-raidiam,1,1
dasiths,1,1
tymorton,1,1
vineethsai,2,1
kenhuangus,1,1
architectureofthings,4,3
KomachiSion,8,2
KiteSoar,1,1
rebeccacamejo,2,1
kimehdgns,1,1
deepakskhetwal,3,1
ahoblitz,1,1
OyaAIProd,7,1
duglin,1,1
prassanna-ravishankar,1,1
chendatony31,1,1
yairyairyair,1,1
iFurySt,1,1
jenish2917,1,1
0xTomDaniel,1,1
joshhalley,2,2
x0cipher,1,1
lahlfors,1,1
humuhimi,1,1
LordOfBug,1,1
carlesarnal,1,1
raveenb,1,1
lorenzocipriani-huawei,2,1
trssantos,1,1
simarsher220,1,1
Bill-XU,2,2
thestupd,1,1
hujiulong,1,1
keenranger,1,1
clintwar,1,1
k-jarzyna,1,1
yuluo-yx,1,1
rescrv,1,1
lambochen,2,1
prashubk,1,1
KanchiShimono,1,1
acensia,2,2
jlestebanbenu,1,1
victorinect,1,1
jsahil,1,1
theosp,1,1
andreibesleaga,4,4
dinesh707,5,1
Lancetnik,7,2
jeromemassot,1,1
rsoika,2,1
questflow-kyle,1,1
LucaButBoring,2,1
suvedo,5,3
WaqasIshaque1,2,1
rajib76,2,2
workkrinal-02,1,1
fryfry33,1,1
joaovilker,1,1
nvcnvn,1,1
jasonmadigan,1,1
nembal,1,1
zmstone,1,1
dhaan-ish,1,1
dylang,1,1
lrosenthol,2,1
ajaynagotha,6,1
gNtino,5,1
blakebrannon,1,1
suforme,1,1
michelschep,4,1
luyiourwong,1,1
HV9903,1,1
JanPokorny,2,2
romairi,1,1
electrocucaracha,1,1
daltonnyx,3,3
mclenhard,1,1
samuelemarro,1,1
alantriesagain,2,1
waitasecant,1,1
pwwpche,3,3
hoonji,2,2
ZhiLiGod,2,2
shamblett,1,1
richardanaya,1,1
maeste,7,7
aglicacha,2,2
Mocuto,1,1
abiramit5,12,12
GeunCheolOh,1,1
rokonec,2,2
kedoska,1,1
yarolegovich,21,21
sepo-eng,1,1
shubham151,1,1
jocelynh-microsoft,3,3
ronaldpetty,1,1
jamesarmenta,1,1
abhinav24jha,1,1
powmax-commits,2,2
marianogonzalez,2,2
Joapfel,1,1
alanyst,2,2
felix-schultz,1,1
