author,n_records,degree
1GZW1,1,0
robinmanuelthiel,2,0
izzymsft,33,0
RubberGoose246,2,0
HeetVekariya,11,0
Vidit-Ostwal,1,0
kibitzing,1,0
everettVT,5,0
sanjeevkumar761,1,0
andorsk,1,0
yangchi,1,0
11Warrior,1,0
deepakskhetwal,3,0
one-kash,1,0
bittr-oss,2,0
RoyAmitabh,1,0
gijswalraven,15,0
yukuanj,1,0
dinesh707,9,0
andy1213aa,1,0
whitestone0712,1,0
kimehdgns,1,0
LingJingMaster,6,0
sreejit-a,1,0
punkyoon,1,0
sarvarimamov,1,0
gilamsalem,2,0
edenreich,31,0
daltonnyx,5,0
rajeshvelicheti,38,0
johnson7788,3,0
smileyboy2019,1,0
alexbainbridge,1,0
101scholar,3,0
Frankdog,3,0
KomachiSion,8,0
jmracek,1,0
thebenignhacker,4,0
Driley142,1,0
SimplyKnownAsG,1,0
vladislavdonchev,4,0
jocelynh-microsoft,3,0
chl1123,1,0
mskadu,1,0
Do-tech-ai,1,0
jfabend,1,0
ZapzCsgo,3,0
steren,1,0
wjcwjc77,1,0
imfing,1,0
dongyunpeng-sjtu,1,0
mrorigo,2,0
borisalekseev,1,0
mjunaidca,2,0
kedoska,1,0
zhengleibin,2,0
jmesnil,6,0
yasonk,4,0
sepo-eng,1,0
cj2a7t,1,0
danja,2,0
iFurySt,1,0
sd0ric4,1,0
3nsai,1,0
olileger,1,0
dukeren,1,0
yuqingzcn,1,0
brasseld,1,0
DiTo97,1,0
matsk-sinch,1,0
aazizisoufiane,1,0
sms03,6,0
bufdev,1,0
ashubham,1,0
hotdogarea,2,0
ahoblitz,2,0
promptrotator,3,0
joepvgenuchten,1,0
xtrycatchx,1,0
pavankumarleo,1,0
maxzyma,2,0
jeanibarz,2,0
JMLX42,1,0
qingyun-wu,2,0
xtrasmal,7,0
chendatony31,1,0
vvasylkovskyi,1,0
openaitx-system,1,0
mycosavant,1,0
kshitizz36,3,0
gregboero,3,0
n1lanjan,1,0
rodrigallardo,2,0
aglicacha,7,0
matoushavlena,15,0
cciwami,1,0
loganaden,2,0
gabayben,2,0
sondotpin,1,0
Mocuto,3,0
keenranger,1,0
adsri,2,0
jowpurcinelli,1,0
holtskinner,358,0
htondro,1,0
yadav,1,0
alextibbles,2,0
vineethsai,2,0
agenttrust,1,0
idagelic,1,0
satendrakumar,4,0
ajaynagotha,6,0
JadenHuang2023,2,0
powmax-commits,4,0
harrigan,1,0
austinmyc,1,0
Kludex,2,0
alantriesagain,2,0
chorghemaruti64-creator,48,0
nerunja,1,0
CAG-nolan,2,0
barnendu,4,0
princejha95,12,0
loganwolfe-ims,1,0
