source,target,weight
BitmineMarine,CertifiedCryp,1
BitmineMarine,Cloriskitty,1
BitmineMarine,Cyberpaisa,1
BitmineMarine,CypherVae,1
BitmineMarine,Damonzwicker,1
BitmineMarine,Dawe000,1
BitmineMarine,Eth,1
BitmineMarine,GerardoTaboada,1
BitmineMarine,GhostAgent,1
BitmineMarine,HermesSubstrate,1
BitmineMarine,JimmyShi22,1
BitmineMarine,KBryan,1
BitmineMarine,Ludovico.r,1
BitmineMarine,Marco-MetaMask,1
BitmineMarine,Metanize,1
BitmineMarine,MidnightLightning,1
BitmineMarine,Moshiii,1
BitmineMarine,Nicopat,1
BitmineMarine,Nithin-Varma,1
BitmineMarine,S8ken,1
BitmineMarine,Spaded,1
BitmineMarine,Sparksss,1
BitmineMarine,SumeetChougule,1
BitmineMarine,TMerlini,1
BitmineMarine,Traciecmyers,1
BitmineMarine,Trishir,1
BitmineMarine,Valisthea,1
BitmineMarine,VickyFu,1
BitmineMarine,Walodja1987,1
BitmineMarine,Zhesima,1
BitmineMarine,alftom,1
BitmineMarine,ant,1
BitmineMarine,assaylabs,1
BitmineMarine,aurous37-lang,1
BitmineMarine,azanux,1
BitmineMarine,babyblueviper1,1
BitmineMarine,bransdotcom,1
BitmineMarine,comeToThinkOfEth,1
BitmineMarine,daniel-ospina,1
BitmineMarine,davidecrapis.eth,1
BitmineMarine,dcbuild3r,1
BitmineMarine,debug-0,1
BitmineMarine,deiu,1
BitmineMarine,denverbaumgartner,1
BitmineMarine,dievardump,1
BitmineMarine,ernestognw,1
BitmineMarine,felixnorden,1
BitmineMarine,gpt3_eth,1
BitmineMarine,hjs_foundation,1
BitmineMarine,ibonon,1
BitmineMarine,jdutreve,1
BitmineMarine,jkm.eth,1
BitmineMarine,joanna,1
BitmineMarine,kimomon,1
BitmineMarine,kinglouis,1
BitmineMarine,leonprou,1
BitmineMarine,maceip,1
BitmineMarine,matevz-oasis,1
BitmineMarine,micheda,1
BitmineMarine,mike-diamond,1
BitmineMarine,mlegls,1
BitmineMarine,mrocker,1
BitmineMarine,nftprof,1
BitmineMarine,node0,1
BitmineMarine,nuhgid,1
BitmineMarine,nxt3d,1
BitmineMarine,orgtrust.eth,1
BitmineMarine,pcarranzav,1
BitmineMarine,peersky,1
BitmineMarine,rithikha,1
BitmineMarine,riza,1
BitmineMarine,sariknanaki,1
BitmineMarine,sarkazein,1
BitmineMarine,sbacha,1
BitmineMarine,smolfren,1
BitmineMarine,soispoke,1
BitmineMarine,spengrah,1
BitmineMarine,sterlingcrispin,1
BitmineMarine,tantodefi,1
BitmineMarine,ten-io-meta,1
BitmineMarine,theagora,1
BitmineMarine,tim-cotten,1
BitmineMarine,tokmakoff,1
BitmineMarine,treza-labs,1
BitmineMarine,vkpatva,1
BitmineMarine,voidcenter,1
BitmineMarine,wanderosity,1
BitmineMarine,webx34455,1
BitmineMarine,weedeej,1
BitmineMarine,xiaowh7,1
BitmineMarine,zonu,1
CertifiedCryp,Cloriskitty,1
CertifiedCryp,Cyberpaisa,1
CertifiedCryp,CypherVae,1
CertifiedCryp,Damonzwicker,1
CertifiedCryp,Dawe000,1
CertifiedCryp,Eth,1
CertifiedCryp,GerardoTaboada,1
CertifiedCryp,GhostAgent,1
CertifiedCryp,HermesSubstrate,1
CertifiedCryp,JimmyShi22,1
CertifiedCryp,KBryan,1
CertifiedCryp,Ludovico.r,1
CertifiedCryp,Marco-MetaMask,1
CertifiedCryp,Metanize,1
CertifiedCryp,MidnightLightning,1
CertifiedCryp,Moshiii,1
CertifiedCryp,Nicopat,1
CertifiedCryp,Nithin-Varma,1
CertifiedCryp,S8ken,1
CertifiedCryp,Spaded,1
CertifiedCryp,Sparksss,1
CertifiedCryp,SumeetChougule,1
CertifiedCryp,TMerlini,1
CertifiedCryp,Traciecmyers,1
CertifiedCryp,Trishir,1
CertifiedCryp,Valisthea,1
CertifiedCryp,VickyFu,1
CertifiedCryp,Walodja1987,1
CertifiedCryp,Zhesima,1
CertifiedCryp,alftom,1
CertifiedCryp,ant,1
