id,weight,thread_count
davidecrapis.eth,8,3
leonprou,1,1
spengrah,5,1
felixnorden,5,1
sbacha,1,1
mlegls,7,2
daniel-ospina,2,1
comeToThinkOfEth,1,1
pcarranzav,8,1
azanux,4,1
KBryan,22,11
Marco-MetaMask,11,1
gpt3_eth,2,2
SumeetChougule,5,2
Nithin-Varma,2,1
deiu,6,3
micheda,1,1
node0,1,1
vkpatva,1,1
soispoke,1,1
bransdotcom,8,3
sarkazein,1,1
CertifiedCryp,1,1
kinglouis,1,1
jdutreve,1,1
orgtrust.eth,2,1
voidcenter,2,1
rithikha,1,1
system,10,4
peersky,1,1
Moshiii,2,1
zonu,3,1
ernestognw,1,1
xiaowh7,1,1
Sparksss,1,1
tim-cotten,1,1
dcbuild3r,1,1
denverbaumgartner,2,1
VickyFu,1,1
Spaded,1,1
sterlingcrispin,1,1
Eth,1,1
tokmakoff,1,1
nuhgid,1,1
S8ken,1,1
dievardump,1,1
CypherVae,1,1
wanderosity,1,1
ten-io-meta,4,1
matevz-oasis,3,1
alftom,1,1
Metanize,2,2
tantodefi,1,1
BitmineMarine,1,1
weedeej,2,1
treza-labs,1,1
hjs_foundation,1,1
Cyberpaisa,3,2
theagora,1,1
kimomon,1,1
Walodja1987,1,1
smolfren,1,1
nftprof,6,4
ant,1,1
jkm.eth,4,2
joanna,1,1
Dawe000,1,1
sariknanaki,1,1
riza,1,1
Ludovico.r,6,3
Cloriskitty,1,1
debug-0,4,1
Trishir,4,2
GerardoTaboada,1,1
Nicopat,39,7
Valisthea,1,1
Zhesima,2,1
mrocker,8,3
ibonon,11,4
TMerlini,129,13
mike-diamond,12,2
assaylabs,3,1
zaryab2000,1,1
nxt3d,30,12
Damonzwicker,54,9
MidnightLightning,2,1
aurous37-lang,2,2
GhostAgent,2,1
maceip,2,1
Traciecmyers,6,3
webx34455,1,1
babyblueviper1,26,5
JimmyShi22,34,6
HermesSubstrate,2,1
dcrapis,5,2
MarcoMetaMask,4,3
McOso,1,1
lisenokdonbassenok,1,1
abcoathup,89,34
lightclient,3,2
joao1963,1,1
OoXooOx,1,1
Kunnumjung,1,1
phiraml,9,3
0xvimer,12,2
blackalbino01,2,1
SamWilsn,131,12
Cybercentry,93,10
mruderman1,1,1
opwizardx,2,1
TENNKN,1,1
vincentcaptain,3,1
fulldecent,1,1
MichaelWinczuk,1,1
qinwang-git,2,2
0xkoiner,1,1
zexoverz,2,1
vishwa-network,1,1
DanielVF,1,1
miratisu,11,1
ThoughtProof,53,4
beau,3,1
wjmelements,1,1
kevzzsk,1,1
kgyashupal,1,1
clawplaza,5,2
drmattbarney,3,1
xrqin,16,5
gilbertsahumada,3,2
Delaube923,1,1
Sentinel,1,1
jonmross,12,2
sebastianwall,1,1
khemiriwalid,1,1
cadenceprotocol,6,1
SynergeticsAI,1,1
kimbo128,4,2
mgrabina,1,1
Aboudjem,19,6
Ankita.eth,1,1
JackyWang,31,3
ziemen4,4,1
cmayorga,22,3
Bakugo32,83,2
pablocactus,66,3
RNWY,18,3
xhronos444,5,2
agentauditAI,2,1
lejuho,1,1
TrendAdmin,1,1
HElloodjfbfssadfed,1,1
douglasborthwick-cry,4,3
Arifa,1,1
ryanberckmans,1,1
myuksal,1,1
arnieleibnichts,1,1
Emadalshamery,1,1
termixai,1,1
blambuer10,1,1
mac,1,1
nabil-brickken,1,1
ryanio,6,2
tachikomared,1,1
cody,5,2
skilesare,1,1
VrilLabs,1,1
VincentWu,24,3
TruthAnchor-AI,8,2
Clavote,5,4
freaks,1,1
tunnckoCore,1,1
jithinraj,1,1
Panini,12,4
MeltedMindz,1,1
Fran23,2,1
yehia67,1,1
thamerdridi,3,2
pipavlo82,4,2
JhiNResH,1,1
DerDoPhil,1,1
douglasborthwick-crypto,2,2
thom-nagel,1,1
michaelwinczuk,6,2
wangbin9953,5,1
brienteth,4,1
wscdcm,5,3
noemiplatform,2,1
craigbranscom,3,1
alexchenai,1,1
clavote-boop,5,1
nicobernad,3,1
damonzwicker,4,1
xrow,1,1
Brooks1003,2,1
jqhc,1,1
mruderman,1,1
ai-virtual-b,1,1
CodySearsOS,1,1
curtisdow1973-sys,1,1
xinbenlv,17,3
Frank122480,1,1
jochem-brouwer,28,4
bomanaps,1,1
Copilot,16,2
