actor_a,actor_b,weight,shared
0xTomDaniel,cdavernas,1,1
0xTomDaniel,joshhalley,1,1
0xTomDaniel,lukehinds,1,1
0xTomDaniel,sfitts,1,1
0xTomDaniel,vishalmysore,1,1
0xTomDaniel,xtrasmal,1,1
AIXerum,Bill-XU,1,1
AIXerum,HadjievK,1,1
AIXerum,TP9-dev,1,1
AIXerum,The-Nexus-Guard,1,1
AIXerum,ToddSegal,1,1
AIXerum,aglicacha,1,1
AIXerum,alexec,1,1
AIXerum,chorghemaruti64-creator,1,1
AIXerum,darkhaniop,1,1
AIXerum,darrelmiller,1,1
AIXerum,dgenio,1,1
AIXerum,gNtino,1,1
AIXerum,holtskinner,1,1
AIXerum,kyleacmooney,1,1
AIXerum,lahlfors,1,1
AIXerum,lorenzocipriani-huawei,1,1
AIXerum,lukehinds,1,1
AIXerum,moonbox3,1,1
AIXerum,nikhilmaddirala,1,1
AIXerum,ognis1205,1,1
AIXerum,patwhite,1,1
AIXerum,ppattanayak,1,1
AIXerum,pstephengoogle,1,1
AIXerum,rajib76,1,1
AIXerum,robert-at-pretension-io,1,1
AIXerum,robomotic,1,1
AIXerum,satishkamavaram,1,1
AIXerum,sfitts,1,1
AIXerum,sing1ee,1,1
AIXerum,syumpx,1,1
AIXerum,vishalmysore,1,1
AIXerum,vizmut-labs,1,1
AIXerum,vongosling,1,1
AIXerum,widrss,1,1
AIXerum,wushubang,1,1
AIXerum,yasonk,1,1
AdarPeleg,AlbumenJ,1,1
AdarPeleg,DJ-os,1,1
AdarPeleg,HaohanTsao,1,1
AdarPeleg,LingJingMaster,1,1
AdarPeleg,Linux2010,1,1
AdarPeleg,Meir017,1,1
AdarPeleg,Phil-Hills,1,1
AdarPeleg,PoolDad-Legal,1,1
AdarPeleg,RIKTESH89,1,1
AdarPeleg,Starborn,1,1
AdarPeleg,Tehsmash,1,1
AdarPeleg,ToddSegal,1,1
AdarPeleg,Yukinekoko,1,1
AdarPeleg,ZapzCsgo,1,1
AdarPeleg,aamonten,1,1
AdarPeleg,abiramit5,1,1
AdarPeleg,akshaykokane,1,1
AdarPeleg,alexec,1,1
AdarPeleg,andorsk,1,1
AdarPeleg,ashubham,1,1
AdarPeleg,benclarkeio,1,1
AdarPeleg,bkowal,1,1
AdarPeleg,darkhaniop,1,1
AdarPeleg,darrelmiller,1,1
AdarPeleg,dgenio,1,1
AdarPeleg,didier-durand,1,1
AdarPeleg,djsamseng,1,1
AdarPeleg,dmandar,1,1
AdarPeleg,edenreich,1,1
AdarPeleg,egor-baranov,1,1
AdarPeleg,ekzhu,1,1
AdarPeleg,everettVT,1,1
AdarPeleg,fjuma,1,1
AdarPeleg,gagb,1,1
AdarPeleg,ghostdoglzd,1,1
AdarPeleg,gijswalraven,1,1
AdarPeleg,git-vote,1,1
AdarPeleg,gvdongen,1,1
AdarPeleg,haxudev,1,1
AdarPeleg,holtskinner,1,1
AdarPeleg,iliesicatrinel,1,1
AdarPeleg,ishymko,1,1
AdarPeleg,izzymsft,1,1
AdarPeleg,jackwotherspoon,1,1
AdarPeleg,jland-redhat,1,1
AdarPeleg,jtanningbed,1,1
AdarPeleg,kabir,1,1
AdarPeleg,kkgupta-github,1,1
AdarPeleg,koverholt,1,1
AdarPeleg,kshitizz36,1,1
AdarPeleg,kthota-g,1,1
AdarPeleg,kubni,1,1
AdarPeleg,lkawka,1,1
AdarPeleg,madankumarpichamuthu,1,1
AdarPeleg,maeste,1,1
AdarPeleg,manojk0303,1,1
AdarPeleg,martimfasantos,1,1
AdarPeleg,matoushavlena,1,1
AdarPeleg,mikeas1,1,1
AdarPeleg,moonbox3,1,1
