author,n_comments,n_themes,entropy,gini,top_theme,stakeholder_institution
Marco-MetaMask,11,7,2.6635327548042547,0.6647727272727273,T08,MetaMask
pcarranzav,8,4,1.75,0.828125,T08,Independent
davidecrapis.eth,6,3,1.459147917027245,0.8541666666666667,T08,Independent
felixnorden,5,3,1.370950594454669,0.8625,T08,Independent
spengrah,5,2,0.7219280948873623,0.9125000000000001,T08,Independent
SumeetChougule,4,3,1.5,0.84375,T19,Independent
MarcoMetaMask,4,3,1.5,0.84375,T01,MetaMask
azanux,4,3,1.5,0.84375,T01,Independent
zonu,3,1,0.0,0.9375,T08,Independent
matevz-oasis,3,3,1.584962500721156,0.8125,T01,Independent
dcrapis,3,2,0.9182958340544894,0.8958333333333333,T07,Independent
mlegls,3,1,0.0,0.9375,T08,Independent
denverbaumgartner,2,1,0.0,0.9375,T08,Independent
bransdotcom,2,2,1.0,0.875,T01,Independent
Cyberpaisa,2,2,1.0,0.875,T01,Independent
deiu,2,2,1.0,0.875,T03,Independent
voidcenter,2,2,1.0,0.875,T07,Independent
Moshiii,2,2,1.0,0.875,T08,Independent
daniel-ospina,2,1,0.0,0.9375,T08,Independent
weedeej,2,2,1.0,0.875,T03,Independent
Nithin-Varma,2,2,1.0,0.875,T08,Independent
lightclient,2,1,0.0,0.9375,T06,Ethereum Foundation
abcoathup,2,2,1.0,0.875,T01,Independent
orgtrust.eth,2,1,0.0,0.9375,T10,Independent
KBryan,2,1,0.0,0.9375,T01,Independent
sbacha,1,1,0.0,0.9375,T08,Independent
peersky,1,1,0.0,0.9375,T08,Independent
xiaowh7,1,1,0.0,0.9375,T08,Independent
rithikha,1,1,0.0,0.9375,T17,Independent
nxt3d,1,1,0.0,0.9375,T07,Independent
sarkazein,1,1,0.0,0.9375,T10,Independent
treza-labs,1,1,0.0,0.9375,T08,Independent
soispoke,1,1,0.0,0.9375,T08,Independent
wanderosity,1,1,0.0,0.9375,T13,Independent
tokmakoff,1,1,0.0,0.9375,T07,Independent
sterlingcrispin,1,1,0.0,0.9375,T18,Independent
nuhgid,1,1,0.0,0.9375,T08,Unknown
ten-io-meta,1,1,0.0,0.9375,T08,Independent
theagora,1,1,0.0,0.9375,T13,Independent
tim-cotten,1,1,0.0,0.9375,T08,Independent
vkpatva,1,1,0.0,0.9375,T01,Independent
tantodefi,1,1,0.0,0.9375,T10,Independent
BitmineMarine,1,1,0.0,0.9375,T02,Independent
node0,1,1,0.0,0.9375,T18,Independent
alftom,1,1,0.0,0.9375,T08,Independent
CypherVae,1,1,0.0,0.9375,T07,Independent
Eth,1,1,0.0,0.9375,T01,Independent
McOso,1,1,0.0,0.9375,T01,Independent
Metanize,1,1,0.0,0.9375,T13,Independent
OoXooOx,1,1,0.0,0.9375,T18,Independent
Spaded,1,1,0.0,0.9375,T18,Independent
Sparksss,1,1,0.0,0.9375,T03,Independent
VickyFu,1,1,0.0,0.9375,T08,Independent
Walodja1987,1,1,0.0,0.9375,T18,Independent
comeToThinkOfEth,1,1,0.0,0.9375,T18,Independent
micheda,1,1,0.0,0.9375,T12,Independent
dcbuild3r,1,1,0.0,0.9375,T08,Independent
dievardump,1,1,0.0,0.9375,T18,Independent
ernestognw,1,1,0.0,0.9375,T11,Independent
gpt3_eth,1,1,0.0,0.9375,T08,Independent
hjs_foundation,1,1,0.0,0.9375,T01,Independent
kimomon,1,1,0.0,0.9375,T07,Independent
kinglouis,1,1,0.0,0.9375,T08,Independent
leonprou,1,1,0.0,0.9375,T08,Independent
lisenokdonbassenok,1,1,0.0,0.9375,T06,Independent
jdutreve,1,1,0.0,0.9375,T08,Independent
