theme_id,label,erc8004_actors,a2a_actors,erc8004_pct,a2a_pct,abs_diff
T08,Trust & Security Mechanisms,30,71,45.5,10.0,35.5
T06,Documentation & Examples,2,151,3.0,21.3,18.3
T01,Protocol Specification & Versioning,15,78,22.7,11.0,11.7
T05,SDK Development & Libraries,1,84,1.5,11.8,10.3
T15,Tooling Fixes & Automation,1,82,1.5,11.5,10.0
T19,Bug Fixes & Implementation Improvements,3,99,4.5,13.9,9.4
T17,Multi-Agent Systems Architecture,1,76,1.5,10.7,9.2
T09,Transport & Protocol Mechanisms,0,62,0.0,8.7,8.7
T04,Task & Message Management,1,68,1.5,9.6,8.1
T18,Spec Clarifications & Information Requests,11,175,16.7,24.6,7.900000000000002
T07,Community Collaboration & Contributions,7,127,10.6,17.9,7.299999999999999
T02,Authentication & Authorization,1,62,1.5,8.7,7.199999999999999
T16,Streaming & Real-time Communication,0,49,0.0,6.9,6.9
T14,Project Governance & Process,0,46,0.0,6.5,6.5
T11,Data Types & Schema Definition,3,73,4.5,10.3,5.800000000000001
T03,Agent Discovery & Registry,6,103,9.1,14.5,5.4
T10,AgentCard & Metadata Structures,5,77,7.6,10.8,3.200000000000001
T12,Testing & Validation Tools,4,25,6.1,3.5,2.5999999999999996
T13,Integrations & External Systems,6,62,9.1,8.7,0.40000000000000036
