actor_a,actor_b,weight,shared
0xkoiner,abcoathup,1,1
0xvimer,MidnightLightning,1,1
0xvimer,jochem-brouwer,1,3
0xvimer,kevzzsk,1,1
0xvimer,pcarranzav,1,2
Aboudjem,MidnightLightning,1,2
Aboudjem,Walodja1987,1,1
Aboudjem,abcoathup,1,6
Aboudjem,aurous37-lang,1,1
Aboudjem,jochem-brouwer,2,6
Aboudjem,kevzzsk,1,1
Aboudjem,myuksal,1,1
Aboudjem,pcarranzav,1,3
Ankita.eth,aurous37-lang,1,1
Ankita.eth,myuksal,1,1
Arifa,abcoathup,1,1
Bakugo32,MidnightLightning,1,2
Bakugo32,Walodja1987,1,1
Bakugo32,abcoathup,1,7
Bakugo32,aurous37-lang,1,1
Bakugo32,jochem-brouwer,2,7
Bakugo32,kevzzsk,1,1
Bakugo32,lightclient,1,2
Bakugo32,myuksal,1,1
Bakugo32,pcarranzav,1,3
BitmineMarine,jochem-brouwer,1,1
Brooks1003,MidnightLightning,1,1
Brooks1003,jochem-brouwer,1,2
Brooks1003,kevzzsk,1,1
Brooks1003,pcarranzav,1,1
CertifiedCryp,aurous37-lang,1,1
CertifiedCryp,myuksal,1,1
Clavote,MidnightLightning,1,1
Clavote,kevzzsk,1,1
Clavote,pcarranzav,1,1
Cloriskitty,aurous37-lang,1,1
Cloriskitty,myuksal,1,1
CodySearsOS,lightclient,1,1
Copilot,MidnightLightning,1,2
Copilot,abcoathup,1,3
Copilot,jochem-brouwer,1,4
Copilot,kevzzsk,1,1
Copilot,lightclient,1,2
Copilot,pcarranzav,1,1
Cybercentry,MidnightLightning,1,2
Cybercentry,Walodja1987,1,1
Cybercentry,abcoathup,1,5
Cybercentry,aurous37-lang,1,1
Cybercentry,kevzzsk,1,1
Cybercentry,lightclient,1,1
Cybercentry,myuksal,1,1
Cybercentry,pcarranzav,1,1
Cyberpaisa,Walodja1987,1,1
Cyberpaisa,jochem-brouwer,1,2
CypherVae,aurous37-lang,1,1
CypherVae,myuksal,1,1
Damonzwicker,MidnightLightning,1,2
Damonzwicker,Walodja1987,1,1
Damonzwicker,abcoathup,1,5
Damonzwicker,aurous37-lang,1,1
Damonzwicker,jochem-brouwer,1,5
Damonzwicker,kevzzsk,1,1
Damonzwicker,lightclient,1,2
Damonzwicker,myuksal,1,1
Damonzwicker,pcarranzav,1,1
DanielVF,abcoathup,1,1
Dawe000,MidnightLightning,1,1
Dawe000,kevzzsk,1,1
Dawe000,pcarranzav,1,1
Delaube923,abcoathup,1,1
DerDoPhil,aurous37-lang,1,1
DerDoPhil,myuksal,1,1
Fran23,Walodja1987,1,1
