actor_a,actor_b,weight,shared
0xTomDaniel,c-mysec,1,1
0xTomDaniel,cdavernas,1,1
0xTomDaniel,justfalter,1,1
101scholar,Lancetnik,1,2
101scholar,dayuyang1999,1,1
101scholar,liar666,1,1
101scholar,lrosenthol,1,1
101scholar,yarolegovich,1,1
11Warrior,dayuyang1999,1,1
11Warrior,liar666,1,1
11Warrior,lrosenthol,1,1
3nsai,c-mysec,1,1
3nsai,cdavernas,1,1
3nsai,justfalter,1,1
AIXerum,dayuyang1999,1,1
AIXerum,liar666,1,1
AIXerum,lrosenthol,1,1
AdarPeleg,abdibrokhim,1,1
AdarPeleg,ajaynagotha,1,1
AdarPeleg,bkowal,1,1
AdarPeleg,bparees,1,1
AdarPeleg,hamidra,1,1
AdarPeleg,justfalter,1,1
AdarPeleg,mbleigh,1,1
AdarPeleg,sfitts,1,1
AdarPeleg,vladkol,1,1
AlbumenJ,abdibrokhim,1,1
AlbumenJ,ajaynagotha,1,1
AlbumenJ,bkowal,1,1
AlbumenJ,bparees,1,1
AlbumenJ,hamidra,1,1
AlbumenJ,justfalter,1,1
AlbumenJ,mbleigh,1,1
AlbumenJ,sfitts,1,1
AlbumenJ,vladkol,1,1
AlbumenJ,xui-will,1,1
AlexanderShenshin,Lancetnik,1,2
AlexanderShenshin,dayuyang1999,1,1
AlexanderShenshin,liar666,1,1
AlexanderShenshin,lrosenthol,1,1
AlexanderShenshin,yarolegovich,1,1
AlexsJones,MaoJianwei,1,1
AlexsJones,ZapzCsgo,1,1
AlexsJones,dayuyang1999,1,2
AlexsJones,liar666,1,1
AlexsJones,lrosenthol,1,1
AlexsJones,muscariello,1,1
AlexsJones,pwwpche,1,1
AlexsJones,sfitts,1,2
AlexsJones,xtrasmal,1,1
AliMuhammadOfficial,Lancetnik,1,1
AliMuhammadOfficial,yarolegovich,1,1
AlokRanjanSwain,MaoJianwei,1,1
AlokRanjanSwain,ZapzCsgo,1,2
AlokRanjanSwain,muscariello,1,2
AlokRanjanSwain,pwwpche,1,1
AlokRanjanSwain,sfitts,1,2
AlokRanjanSwain,xtrasmal,1,1
Areo-Joe,abdibrokhim,1,1
Areo-Joe,ajaynagotha,1,1
Areo-Joe,bkowal,1,1
Areo-Joe,bparees,1,1
Areo-Joe,hamidra,1,1
Areo-Joe,justfalter,1,1
Areo-Joe,mbleigh,1,1
Areo-Joe,sfitts,1,2
Areo-Joe,vladkol,1,1
Bill-XU,dayuyang1999,1,1
Bill-XU,liar666,1,1
Bill-XU,lrosenthol,1,1
Boburmirzo,ishymko,1,1
Boburmirzo,justfalter,1,1
CAG-nolan,abdibrokhim,1,1
CAG-nolan,ajaynagotha,1,1
CAG-nolan,bkowal,1,1
CAG-nolan,bparees,1,1
CAG-nolan,hamidra,1,1
CAG-nolan,justfalter,1,1
CAG-nolan,mbleigh,1,1
CAG-nolan,sfitts,1,1
CAG-nolan,vladkol,1,1
CHARLIE1210-A,abdibrokhim,1,2
CHARLIE1210-A,ajaynagotha,1,2
CHARLIE1210-A,bkowal,1,1
CHARLIE1210-A,bparees,1,1
CHARLIE1210-A,c-mysec,1,3
CHARLIE1210-A,cdavernas,1,3
CHARLIE1210-A,dayuyang1999,1,2
CHARLIE1210-A,hamidra,1,1
CHARLIE1210-A,justfalter,2,2
CHARLIE1210-A,liar666,1,1
CHARLIE1210-A,lrosenthol,1,1
CHARLIE1210-A,mbleigh,1,1
CHARLIE1210-A,sfitts,1,2
CHARLIE1210-A,vladkol,1,1
CZH-THU,GeunCheolOh,1,1
CZH-THU,Lancetnik,1,1
CZH-THU,patwhite,1,2
CZH-THU,yarolegovich,1,2
CZH-THU,ysxu666,1,1
CakeCrusher,FoolishDreamer,1,1
CakeCrusher,abdibrokhim,1,1
CakeCrusher,ajaynagotha,1,1
CakeCrusher,bkowal,1,1
CakeCrusher,bparees,1,1
CakeCrusher,buithehai1994,1,1
CakeCrusher,dukeren,1,1
CakeCrusher,hamidra,1,1
CakeCrusher,justfalter,1,1
CakeCrusher,mbleigh,1,1
CakeCrusher,sfitts,1,1
CakeCrusher,vladkol,1,1
CakeCrusher,wenwenc9,1,1
Camusama,FoolishDreamer,1,1
Camusama,buithehai1994,1,1
Camusama,dukeren,1,1
Camusama,wenwenc9,1,1
Copilot,abdibrokhim,1,2
Copilot,ajaynagotha,1,2
Copilot,bkowal,1,1
Copilot,bparees,1,1
Copilot,c-mysec,1,2
Copilot,cdavernas,1,2
Copilot,hamidra,1,1
Copilot,justfalter,2,2
Copilot,mbleigh,1,1
Copilot,sfitts,1,1
Copilot,vladkol,1,1
Crokily,dayuyang1999,1,1
Crokily,liar666,1,1
Crokily,lrosenthol,1,1
DGuhr,Lancetnik,1,2
DGuhr,MaoJianwei,1,1
DGuhr,ZapzCsgo,1,1
DGuhr,muscariello,1,2
DGuhr,pwwpche,1,2
DGuhr,sfitts,1,1
DGuhr,xtrasmal,1,1
DGuhr,yarolegovich,1,2
DJ-os,abdibrokhim,1,1
DJ-os,ajaynagotha,1,1
DJ-os,bkowal,1,1
DJ-os,bparees,1,1
DJ-os,dayuyang1999,1,2
DJ-os,hamidra,1,1
DJ-os,justfalter,1,1
DJ-os,liar666,1,1
DJ-os,lrosenthol,1,1
DJ-os,mbleigh,1,1
DJ-os,sfitts,1,2
DJ-os,vladkol,1,1
DL1231,dayuyang1999,1,1
DL1231,liar666,1,1
DL1231,lrosenthol,1,1
DiTo97,dayuyang1999,1,1
DiTo97,liar666,1,1
DiTo97,lrosenthol,1,1
DinoChiesa,abdibrokhim,1,1
DinoChiesa,ajaynagotha,1,1
DinoChiesa,bkowal,1,1
DinoChiesa,bparees,1,1
DinoChiesa,hamidra,1,1
DinoChiesa,justfalter,1,1
DinoChiesa,mbleigh,1,1
DinoChiesa,sfitts,1,1
DinoChiesa,vladkol,1,1
DracoBlue,Lancetnik,1,4
DracoBlue,MaoJianwei,1,1
DracoBlue,ZapzCsgo,1,2
DracoBlue,abdibrokhim,1,2
DracoBlue,ajaynagotha,1,2
DracoBlue,bkowal,1,1
DracoBlue,bparees,1,2
DracoBlue,c-mysec,1,4
DracoBlue,cdavernas,1,3
DracoBlue,dayuyang1999,1,3
DracoBlue,hamidra,1,1
DracoBlue,justfalter,2,3
DracoBlue,liar666,1,1
DracoBlue,lrosenthol,1,1
DracoBlue,mbleigh,1,1
DracoBlue,muscariello,1,4
DracoBlue,pwwpche,1,3
DracoBlue,sfitts,2,3
DracoBlue,vladkol,1,1
DracoBlue,xtrasmal,1,1
DracoBlue,yarolegovich,1,4
EditUndo,MaoJianwei,1,1
EditUndo,ZapzCsgo,1,1
EditUndo,c-mysec,1,4
EditUndo,cdavernas,1,2
EditUndo,dayuyang1999,1,2
EditUndo,justfalter,1,2
EditUndo,liar666,1,1
EditUndo,lrosenthol,1,1
EditUndo,muscariello,1,3
EditUndo,pwwpche,1,2
EditUndo,sfitts,1,2
EditUndo,xtrasmal,1,1
EditUndo,xui-will,1,3
Eggrolling-hu,Lancetnik,1,1
Eggrolling-hu,yarolegovich,1,1
EliasLumer,MaoJianwei,1,1
EliasLumer,ZapzCsgo,1,1
EliasLumer,muscariello,1,1
EliasLumer,pwwpche,1,1
EliasLumer,sfitts,1,1
EliasLumer,xtrasmal,1,1
Emilmeister,dayuyang1999,1,1
Emilmeister,liar666,1,1
Emilmeister,lrosenthol,1,1
Fannon,abdibrokhim,1,2
Fannon,ajaynagotha,1,2
Fannon,bkowal,1,1
Fannon,bparees,1,1
Fannon,hamidra,1,1
Fannon,justfalter,1,2
Fannon,mbleigh,1,1
Fannon,sfitts,1,2
Fannon,vladkol,1,1
FoolishDreamer,HaohanTsao,1,1
FoolishDreamer,HeetVekariya,1,1
FoolishDreamer,Kevin1466,1,1
FoolishDreamer,Tehsmash,1,1
FoolishDreamer,The-Nexus-Guard,1,1
FoolishDreamer,ZapzCsgo,1,1
FoolishDreamer,alexec,1,1
FoolishDreamer,annicode01,1,1
FoolishDreamer,benclarkeio,1,1
FoolishDreamer,beonde,1,1
FoolishDreamer,binbandit,1,1
FoolishDreamer,darrelmiller,1,1
FoolishDreamer,dgenio,1,1
FoolishDreamer,holtskinner,1,1
FoolishDreamer,iamrajiv,1,1
FoolishDreamer,kukuyuhai,1,1
FoolishDreamer,liar666,1,1
FoolishDreamer,maeste,1,1
FoolishDreamer,meetrais,1,1
FoolishDreamer,mikeas1,1,1
FoolishDreamer,nickossdev,1,1
FoolishDreamer,princejha95,1,1
FoolishDreamer,promptrotator,1,1
FoolishDreamer,pstephengoogle,1,1
FoolishDreamer,rajeshvelicheti,1,1
FoolishDreamer,richardanaya,1,1
FoolishDreamer,steren,1,1
FoolishDreamer,syllogismos,1,1
