actor_a,actor_b,weight,shared
0xkoiner,Aboudjem,1,1
0xkoiner,Arifa,1,1
0xkoiner,Bakugo32,1,1
0xkoiner,Copilot,1,1
0xkoiner,Cybercentry,1,1
0xkoiner,Damonzwicker,1,1
0xkoiner,DanielVF,1,1
0xkoiner,Delaube923,1,1
0xkoiner,JackyWang,1,1
0xkoiner,JhiNResH,1,1
0xkoiner,JimmyShi22,1,1
0xkoiner,MidnightLightning,1,1
0xkoiner,Nicopat,1,1
0xkoiner,Panini,1,1
0xkoiner,RNWY,1,1
0xkoiner,SamWilsn,1,1
0xkoiner,SumeetChougule,1,1
0xkoiner,TMerlini,1,1
0xkoiner,ThoughtProof,1,1
0xkoiner,VincentWu,1,1
0xkoiner,babyblueviper1,1,1
0xkoiner,bransdotcom,1,1
0xkoiner,clawplaza,1,1
0xkoiner,cmayorga,1,1
0xkoiner,damonzwicker,1,1
0xkoiner,douglasborthwick-crypto,1,1
0xkoiner,gpt3_eth,1,1
0xkoiner,jochem-brouwer,1,1
0xkoiner,miratisu,1,1
0xkoiner,mlegls,1,1
0xkoiner,mrocker,1,1
0xkoiner,nxt3d,1,1
0xkoiner,pablocactus,1,1
0xkoiner,ryanio,1,1
0xkoiner,vishwa-network,1,1
0xkoiner,vkpatva,1,1
0xkoiner,wangbin9953,1,1
0xkoiner,xhronos444,1,1
0xkoiner,xinbenlv,1,1
0xkoiner,xrqin,1,1
0xkoiner,zexoverz,1,1
0xvimer,Aboudjem,2,3
0xvimer,Bakugo32,2,4
0xvimer,BitmineMarine,1,1
0xvimer,Brooks1003,1,1
0xvimer,Clavote,1,1
0xvimer,Copilot,1,2
0xvimer,Cybercentry,1,3
0xvimer,Cyberpaisa,1,1
0xvimer,Damonzwicker,1,3
0xvimer,Dawe000,1,1
0xvimer,HermesSubstrate,1,1
0xvimer,JackyWang,2,3
0xvimer,JimmyShi22,1,3
0xvimer,KBryan,2,4
0xvimer,Ludovico.r,2,2
0xvimer,Marco-MetaMask,2,4
0xvimer,McOso,1,1
0xvimer,MichaelWinczuk,1,1
0xvimer,Nicopat,2,4
0xvimer,Nithin-Varma,1,1
0xvimer,Panini,1,2
0xvimer,RNWY,2,4
0xvimer,SamWilsn,2,4
0xvimer,Sentinel,1,1
0xvimer,SumeetChougule,1,1
0xvimer,SynergeticsAI,1,1
0xvimer,TMerlini,2,4
0xvimer,ThoughtProof,2,4
0xvimer,Traciecmyers,2,3
0xvimer,Trishir,2,2
0xvimer,TruthAnchor-AI,1,2
0xvimer,VincentWu,1,3
0xvimer,VrilLabs,1,1
0xvimer,abcoathup,1,3
0xvimer,agentauditAI,1,1
0xvimer,alexchenai,1,1
0xvimer,alftom,1,1
0xvimer,arnieleibnichts,1,1
0xvimer,azanux,2,2
0xvimer,babyblueviper1,2,2
0xvimer,bransdotcom,1,2
0xvimer,brienteth,1,2
0xvimer,cadenceprotocol,1,1
0xvimer,clavote-boop,1,2
0xvimer,clawplaza,1,1
0xvimer,cmayorga,1,3
0xvimer,cody,1,1
0xvimer,comeToThinkOfEth,1,1
0xvimer,daniel-ospina,1,2
0xvimer,davidecrapis.eth,2,3
0xvimer,dcrapis,1,4
0xvimer,deiu,1,2
0xvimer,denverbaumgartner,1,2
0xvimer,douglasborthwick-cry,1,1
0xvimer,douglasborthwick-crypto,1,1
0xvimer,ernestognw,1,1
0xvimer,felixnorden,1,2
0xvimer,freaks,1,1
0xvimer,gilbertsahumada,1,2
0xvimer,gpt3_eth,1,1
0xvimer,hjs_foundation,1,1
0xvimer,ibonon,2,4
0xvimer,jdutreve,1,1
0xvimer,jithinraj,1,1
0xvimer,jkm.eth,1,3
0xvimer,joanna,1,1
0xvimer,jochem-brouwer,1,3
0xvimer,jonmross,1,3
0xvimer,kgyashupal,1,1
0xvimer,khemiriwalid,1,1
0xvimer,kimbo128,1,3
0xvimer,kinglouis,1,1
0xvimer,mac,1,1
0xvimer,maceip,1,1
0xvimer,mgrabina,1,1
0xvimer,michaelwinczuk,1,3
0xvimer,micheda,1,1
0xvimer,mike-diamond,2,4
0xvimer,miratisu,1,3
0xvimer,mlegls,2,2
0xvimer,mrocker,1,2
0xvimer,mruderman,1,1
0xvimer,mruderman1,1,1
0xvimer,nabil-brickken,1,1
0xvimer,nftprof,1,1
0xvimer,nicobernad,1,1
0xvimer,node0,1,1
0xvimer,noemiplatform,1,1
0xvimer,nuhgid,1,1
0xvimer,nxt3d,1,3
0xvimer,opwizardx,1,1
0xvimer,pablocactus,2,4
0xvimer,pcarranzav,1,2
0xvimer,peersky,1,1
0xvimer,phiraml,1,3
0xvimer,qinwang-git,1,1
0xvimer,riza,1,1
0xvimer,ryanio,1,3
