author,n_comments,n_themes,entropy,gini,top_theme,stakeholder_institution
holtskinner,336,12,2.6702409918900507,0.591765873015873,T02,Google
darrelmiller,278,11,2.62491621236272,0.605515587529976,T02,Google A2A
ognis1205,145,7,2.317312813216946,0.6764367816091954,T03,ACP
kthota-g,122,11,2.797914080495333,0.5327868852459017,T02,Google
Tehsmash,102,9,2.763946527810606,0.5408496732026145,T02,Independent
pstephengoogle,91,11,2.974937176498219,0.4917582417582418,T02,Google
mikeas1,79,10,2.772262232420824,0.5580168776371308,T02,Google
darkhaniop,68,10,2.6430597650907206,0.5833333333333335,T02,Independent
yarolegovich,59,8,1.9108881188491709,0.75,T02,Independent
swapydapy,49,8,2.622157979853678,0.5935374149659864,T02,Google
chorghemaruti64-creator,48,7,2.595859879730069,0.5902777777777779,T08,Independent
zeroasterisk,42,10,2.7866549039629414,0.5555555555555556,T02,OpenClaw
muscariello,41,7,2.2303343398752467,0.7012195121951221,T02,Google A2A
amye,40,7,2.3991128603062806,0.6541666666666668,T01,Google
vishalmysore,36,5,1.4348990925265237,0.8194444444444444,T03,Google A2A governance
rajeshvelicheti,36,11,3.0630230172210817,0.4537037037037037,T02,rajeshvelicheti
lukehinds,32,8,2.44919834670499,0.640625,T03,GitHub
izzymsft,32,9,2.609265829249441,0.6041666666666667,T02,Google A2A
maeste,31,7,2.152002070366934,0.7123655913978495,T02,Independent
edenreich,31,9,2.845032504410935,0.5241935483870968,T02,Independent
vinoo999,30,6,2.174223285049805,0.7055555555555557,T02,GitHub A2A
whitlockjc,30,6,2.216552779596357,0.6833333333333333,T02,Google A2A
herczyn,26,6,2.562600913315173,0.5448717948717949,T04,Google
didier-durand,26,7,1.9021748142117278,0.7371794871794872,T02,Unknown
git-vote,25,5,1.2554312795576,0.8300000000000001,T01,GitHub A2A
imran-siddique,25,4,1.5651407133456023,0.8033333333333335,T08,Independent
dmandar,24,7,2.381051959488611,0.6597222222222223,T08,Independent
madankumarpichamuthu,22,7,2.335383620764545,0.6590909090909092,T02,Independent
abiramit5,22,3,0.8658566174572236,0.8712121212121213,T02,Independent
moonbox3,21,7,2.486793021302403,0.6309523809523809,T06,Google A2A
robert-at-pretension-io,21,8,2.8152023999804867,0.51984126984127,T08,GitHub A2A (discussion_comment)
whysage,20,6,1.9192407046368487,0.75,T01,Independent
Linux2010,20,5,1.8804820237218405,0.7583333333333333,T02,Community Contributor
EditUndo,20,5,1.842737648613667,0.7666666666666668,T03,artinet-project
The-Nexus-Guard,19,6,2.273728829005326,0.6710526315789473,T08,Independent
djsamseng,18,5,1.768853837616,0.7777777777777779,T02,Independent
ToddSegal,18,6,2.210973616506755,0.6944444444444444,T02,Google A2A
ishymko,16,3,0.6685644431995965,0.8854166666666667,T02,Google
matoushavlena,15,6,2.332914563979398,0.6611111111111112,T02,Google A2A
SecureAgentTools,15,5,1.5589385323502771,0.7944444444444445,T06,Independent
gijswalraven,15,1,0.0,0.9166666666666667,T02,Independent
alexec,15,6,2.3655962303576024,0.6500000000000001,T03,GitHub A2A
