author,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12
0xkoiner,0,0,0,0,0,1,0,0,0,0,0,0
0xvimer,0,2,3,5,0,0,0,2,0,0,0,0
Aboudjem,2,0,2,3,3,2,1,1,2,0,0,0
Ankita.eth,0,0,1,0,0,0,0,0,0,0,0,0
Arifa,0,0,0,0,0,1,0,0,0,0,0,0
Bakugo32,19,7,7,8,4,19,8,4,2,1,0,1
BitmineMarine,0,0,0,0,0,0,0,1,0,0,0,0
Brooks1003,0,0,0,1,1,0,0,0,0,0,0,0
CertifiedCryp,0,0,1,0,0,0,0,0,0,0,0,0
Clavote,0,0,0,4,0,0,0,0,0,0,0,1
Cloriskitty,0,0,1,0,0,0,0,0,0,0,0,0
CodySearsOS,0,1,0,0,0,0,0,0,0,0,0,0
Copilot,0,4,0,9,1,2,0,0,0,0,0,0
Cybercentry,3,5,3,28,0,1,0,0,0,0,0,1
Cyberpaisa,1,0,0,0,0,0,0,2,0,0,0,0
CypherVae,0,0,1,0,0,0,0,0,0,0,0,0
Damonzwicker,2,2,1,23,2,10,0,0,0,0,0,14
DanielVF,0,0,0,0,0,1,0,0,0,0,0,0
Dawe000,0,0,0,1,0,0,0,0,0,0,0,0
Delaube923,0,0,0,0,0,1,0,0,0,0,0,0
DerDoPhil,0,0,1,0,0,0,0,0,0,0,0,0
Eth,0,0,0,0,0,0,1,0,0,0,0,0
Fran23,1,0,0,0,0,0,0,0,0,0,0,1
Frank122480,0,0,0,0,0,0,0,1,0,0,0,0
GerardoTaboada,0,0,0,0,0,0,0,0,1,0,0,0
GhostAgent,0,0,1,0,0,0,0,0,0,0,0,0
HElloodjfbfssadfed,0,0,0,0,0,0,1,0,0,0,0,0
HermesSubstrate,0,0,0,0,0,0,0,2,0,0,0,0
JackyWang,4,0,1,8,1,5,2,2,4,0,0,2
JhiNResH,0,0,0,0,0,1,0,0,0,0,0,0
JimmyShi22,4,3,4,5,1,15,0,0,0,0,0,2
KBryan,1,7,3,10,0,0,0,1,0,0,0,0
Ludovico.r,0,0,0,3,0,0,0,1,2,0,0,0
Marco-MetaMask,0,2,2,3,0,0,1,2,1,0,0,0
MarcoMetaMask,1,2,0,0,0,0,1,0,0,0,0,0
McOso,0,0,0,1,0,0,0,0,0,0,0,0
MeltedMindz,1,0,0,0,0,0,0,0,0,0,0,0
Metanize,0,0,2,0,0,0,0,0,0,0,0,0
MichaelWinczuk,0,0,0,1,0,0,0,0,0,0,0,0
MidnightLightning,0,0,0,1,0,1,0,0,0,0,0,0
Moshiii,1,0,1,0,0,0,0,0,0,0,0,0
Nicopat,1,3,6,18,1,3,0,3,1,0,0,3
Nithin-Varma,1,0,0,1,0,0,0,0,0,0,0,0
Panini,0,0,5,4,0,2,1,0,0,0,0,0
RNWY,4,1,3,4,0,2,1,3,0,0,0,0
SamWilsn,1,69,1,33,3,6,0,4,0,0,2,9
Sentinel,0,0,0,0,0,0,0,1,0,0,0,0
Sparksss,0,0,0,0,0,0,1,0,0,0,0,0
SumeetChougule,1,0,0,1,0,1,1,0,0,0,0,1
SynergeticsAI,0,0,0,1,0,0,0,0,0,0,0,0
TMerlini,3,10,3,46,4,38,2,11,4,0,0,8
ThoughtProof,7,4,6,11,2,4,5,4,2,0,0,8
Traciecmyers,1,2,0,2,0,0,0,1,0,0,0,0
TrendAdmin,0,0,0,0,0,0,0,0,0,0,0,1
