author,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12
0xTomDaniel,0,0,0,1,0,0,0,0,0,0,0,0
101scholar,0,0,2,0,0,0,0,1,0,0,0,0
11Warrior,0,0,1,0,0,0,0,0,0,0,0,0
1GZW1,0,0,0,0,0,0,0,0,0,0,1,0
3nsai,0,0,0,1,0,0,0,0,0,0,0,0
AIXerum,0,0,1,0,0,0,0,0,0,0,0,0
AdarPeleg,0,2,0,0,0,0,0,0,0,0,0,0
AlbumenJ,0,1,0,0,0,0,0,0,3,0,0,0
AlexanderShenshin,0,0,1,0,0,0,0,1,0,0,0,0
AlexsJones,0,0,3,0,0,1,0,0,0,0,0,0
AliMuhammadOfficial,0,0,0,0,0,0,0,1,0,0,0,0
AlokRanjanSwain,0,2,0,0,0,1,0,0,0,0,0,0
AndrewPanB,0,0,0,1,0,0,0,0,0,0,0,0
AndyStan112,0,0,1,0,0,0,0,0,0,0,0,0
Areo-Joe,0,1,1,0,0,0,0,0,0,0,0,0
AshuJoshi,0,0,0,0,0,0,1,0,0,0,0,0
Bill-XU,0,0,2,0,0,0,0,0,0,0,0,0
Boburmirzo,1,0,0,0,0,0,0,0,0,0,0,0
CAG-nolan,0,1,0,0,0,0,0,0,0,0,0,0
CHARLIE1210-A,0,2,5,3,0,0,0,2,0,0,0,0
CZH-THU,0,0,0,0,1,0,1,3,0,0,0,0
CakeCrusher,0,2,0,0,0,0,2,0,0,0,1,0
Camusama,0,0,0,0,0,0,0,0,0,0,1,0
Copilot,0,4,0,2,0,0,0,0,1,0,0,0
Crokily,0,0,1,0,0,0,0,0,0,0,0,0
DGuhr,0,0,0,0,0,1,0,1,0,0,0,0
DJ-os,0,5,7,0,0,0,0,0,0,0,0,0
DL1231,0,0,1,0,0,0,0,0,0,0,0,0
DavidMaister,0,0,1,0,0,0,0,0,0,0,0,0
DiTo97,0,0,1,0,0,0,0,0,0,0,0,0
DinoChiesa,0,1,0,0,0,0,0,0,0,0,0,0
