source,target,type,weight
MarcoMetaMask,wanderosity,reply,1.5
MarcoMetaMask,vkpatva,reply,1.5
dcrapis,micheda,reply,1.5
MarcoMetaMask,pcarranzav,reply,1.5
mlegls,spengrah,reply,1.5
dcrapis,spengrah,reply,1.5
MarcoMetaMask,azanux,reply,1.5
mlegls,pcarranzav,reply,1.5
KBryan,MarcoMetaMask,reply,1.5
MarcoMetaMask,SumeetChougule,reply,1.5
sarkazein,vkpatva,reply,1.5
dcrapis,pcarranzav,reply,1.5
Spaded,VickyFu,reply,1.5
denverbaumgartner,felixnorden,reply,1.5
MarcoMetaMask,spengrah,reply,1.5
azanux,comeToThinkOfEth,reply,1.5
Nithin-Varma,spengrah,reply,1.5
SumeetChougule,pcarranzav,reply,1.5
azanux,gpt3_eth,reply,1.5
daniel-ospina,felixnorden,reply,1.5
MarcoMetaMask,comeToThinkOfEth,reply,1.5
Nithin-Varma,pcarranzav,reply,1.5
dcrapis,node0,reply,1.5
SumeetChougule,dcrapis,reply,1.5
Cyberpaisa,weedeej,reply,1.5
daniel-ospina,spengrah,reply,1.5
MarcoMetaMask,felixnorden,reply,1.5
felixnorden,spengrah,reply,1.5
dcbuild3r,zonu,reply,1.5
dcrapis,deiu,reply,1.5
MarcoMetaMask,mlegls,reply,1.5
dcrapis,lightclient,co_comment,1
OoXooOx,joao1963,co_comment,1
MarcoMetaMask,lightclient,co_comment,1
abcoathup,dcrapis,co_comment,1
abcoathup,lightclient,co_comment,1
dcrapis,joao1963,co_comment,1
abcoathup,joao1963,co_comment,1
OoXooOx,abcoathup,co_comment,1
OoXooOx,lightclient,co_comment,1
OoXooOx,dcrapis,co_comment,1
joao1963,lightclient,co_comment,1
