actor_a,actor_b,weight,shared
Cyberpaisa,Marco-MetaMask,1,2
Cyberpaisa,daniel-ospina,1,1
Cyberpaisa,pcarranzav,1,1
Marco-MetaMask,Moshiii,1,2
Marco-MetaMask,Nithin-Varma,1,2
Marco-MetaMask,SumeetChougule,1,2
Marco-MetaMask,VickyFu,1,1
Marco-MetaMask,alftom,1,1
Marco-MetaMask,davidecrapis.eth,1,2
Marco-MetaMask,denverbaumgartner,1,1
Marco-MetaMask,felixnorden,1,2
Marco-MetaMask,gpt3_eth,1,1
Marco-MetaMask,jdutreve,1,1
Marco-MetaMask,kinglouis,1,1
Marco-MetaMask,mlegls,1,1
Marco-MetaMask,nuhgid,1,1
Marco-MetaMask,peersky,1,1
Marco-MetaMask,soispoke,1,1
Marco-MetaMask,spengrah,1,1
Marco-MetaMask,ten-io-meta,1,1
Marco-MetaMask,tim-cotten,1,1
Marco-MetaMask,treza-labs,1,1
Marco-MetaMask,xiaowh7,1,1
Marco-MetaMask,zonu,1,1
Moshiii,daniel-ospina,1,1
Moshiii,pcarranzav,1,1
Nithin-Varma,daniel-ospina,1,1
Nithin-Varma,pcarranzav,1,2
Spaded,azanux,1,1
Spaded,node0,1,1
Spaded,pcarranzav,1,1
Spaded,sterlingcrispin,1,1
SumeetChougule,daniel-ospina,1,1
SumeetChougule,pcarranzav,1,2
VickyFu,daniel-ospina,1,1
VickyFu,pcarranzav,1,1
Walodja1987,azanux,1,1
Walodja1987,node0,1,1
Walodja1987,pcarranzav,1,1
Walodja1987,sterlingcrispin,1,1
alftom,daniel-ospina,1,1
alftom,pcarranzav,1,1
daniel-ospina,davidecrapis.eth,1,1
daniel-ospina,denverbaumgartner,1,1
daniel-ospina,felixnorden,1,1
daniel-ospina,gpt3_eth,1,1
daniel-ospina,jdutreve,1,1
daniel-ospina,kinglouis,1,1
daniel-ospina,mlegls,1,1
daniel-ospina,nuhgid,1,1
daniel-ospina,peersky,1,1
daniel-ospina,soispoke,1,1
daniel-ospina,spengrah,1,1
daniel-ospina,ten-io-meta,1,1
daniel-ospina,tim-cotten,1,1
daniel-ospina,treza-labs,1,1
daniel-ospina,xiaowh7,1,1
daniel-ospina,zonu,1,1
davidecrapis.eth,pcarranzav,1,1
denverbaumgartner,pcarranzav,1,1
felixnorden,pcarranzav,1,1
gpt3_eth,pcarranzav,1,1
jdutreve,pcarranzav,1,1
kinglouis,pcarranzav,1,1
mlegls,pcarranzav,1,1
nuhgid,pcarranzav,1,1
pcarranzav,peersky,1,1
pcarranzav,soispoke,1,1
pcarranzav,spengrah,1,1
pcarranzav,ten-io-meta,1,1
pcarranzav,tim-cotten,1,1
pcarranzav,treza-labs,1,1
pcarranzav,xiaowh7,1,1
pcarranzav,zonu,1,1
