actor_a,actor_b,weight,shared
0xTomDaniel,EditUndo,1,1
0xTomDaniel,EliasLumer,1,1
0xTomDaniel,Fannon,1,1
0xTomDaniel,JerryDaHeLian,1,1
0xTomDaniel,KiteSoar,1,1
0xTomDaniel,KomachiSion,1,1
0xTomDaniel,Lancetnik,1,1
0xTomDaniel,OyaAIProd,1,1
0xTomDaniel,SecureAgentTools,1,1
0xTomDaniel,ThierryThevenet,1,1
0xTomDaniel,Zephyr-Blessed,1,1
0xTomDaniel,aeoess,1,1
0xTomDaniel,aiagentexpert,1,1
0xTomDaniel,ajaynagotha,1,1
0xTomDaniel,alain-sv,1,1
0xTomDaniel,architectureofthings,1,1
0xTomDaniel,batprem,1,1
0xTomDaniel,benclarkeio,1,1
0xTomDaniel,chendatony31,1,1
0xTomDaniel,chorghemaruti64-creator,1,1
0xTomDaniel,daltonnyx,1,1
0xTomDaniel,darrelmiller,1,1
0xTomDaniel,deepakskhetwal,1,1
0xTomDaniel,dinesh707,1,1
0xTomDaniel,edenreich,1,1
0xTomDaniel,egor-baranov,1,1
0xTomDaniel,everettVT,1,1
0xTomDaniel,heiko-hotz,1,1
0xTomDaniel,holtskinner,1,1
0xTomDaniel,izzymsft,1,1
0xTomDaniel,jebinj22,1,1
0xTomDaniel,kimehdgns,1,1
0xTomDaniel,kthota-g,1,1
0xTomDaniel,lalrow,1,1
0xTomDaniel,liuming-dev,1,1
0xTomDaniel,liuzengh,1,1
0xTomDaniel,lorenzocipriani-huawei,1,1
0xTomDaniel,mikeas1,1,1
0xTomDaniel,mindpower,1,1
0xTomDaniel,muscariello,1,1
0xTomDaniel,ognis1205,1,1
0xTomDaniel,princejha95,1,1
0xTomDaniel,pstephengoogle,1,1
0xTomDaniel,raveenb,1,1
0xTomDaniel,rebeccacamejo,1,1
0xTomDaniel,ruFFaa,1,1
0xTomDaniel,sandangel,1,1
0xTomDaniel,tot-ra,1,1
0xTomDaniel,ukshankar,1,1
0xTomDaniel,unizhu,1,1
0xTomDaniel,vineethsai,1,1
0xTomDaniel,whysage,1,1
0xTomDaniel,x0cipher,1,1
0xTomDaniel,yairyairyair,1,1
0xTomDaniel,yaronf,1,1
0xTomDaniel,ymmt2005,1,1
0xTomDaniel,zeroasterisk,1,1
AIXerum,benclarkeio,1,1
AIXerum,liar666,1,1
AIXerum,xtrasmal,1,1
AdarPeleg,arislan-lilo,1,1
AlbumenJ,arislan-lilo,1,1
AlbumenJ,gagb,1,2
AlbumenJ,lrosenthol,1,1
AlexanderShenshin,Tehsmash,1,1
AlexsJones,amye,1,2
AlexsJones,gagb,1,1
AlexsJones,ishymko,1,2
AlexsJones,lukehinds,1,3
AliMuhammadOfficial,Tehsmash,1,1
Areo-Joe,cdavernas,1,2
Areo-Joe,mcglabs,1,2
Areo-Joe,sfitts,1,1
AshuJoshi,egor-baranov,1,1
AshuJoshi,fhinkel,1,1
AshuJoshi,guglielmo-san,1,1
AshuJoshi,iliesicatrinel,1,1
AshuJoshi,zoujie-ee,1,1
Bill-XU,benclarkeio,1,1
Bill-XU,hamidra,1,1
Bill-XU,liar666,1,1
Bill-XU,xtrasmal,1,1
Boburmirzo,LingJingMaster,1,1
CAG-nolan,cdavernas,1,1
CAG-nolan,mcglabs,1,1
CAG-nolan,sfitts,1,1
CHARLIE1210-A,hamidra,1,1
CZH-THU,egor-baranov,1,2
CZH-THU,fhinkel,1,1
CZH-THU,guglielmo-san,1,1
CZH-THU,hamidra,1,1
CZH-THU,iliesicatrinel,1,1
CZH-THU,zoujie-ee,1,1
CakeCrusher,codefromthecrypt,1,2
Copilot,MaoJianwei,1,1
Copilot,amye,1,4
Copilot,bobtista,1,1
Copilot,bparees,1,1
Copilot,cdavernas,1,3
Copilot,djsamseng,1,3
Copilot,justfalter,1,2
Copilot,mcglabs,1,2
Copilot,nvcnvn,1,1
Copilot,richardanaya,1,1
Copilot,sfitts,1,1
Copilot,swapydapy,2,5
Copilot,xiongwenxin123,1,1
Copilot,zeroasterisk,1,4
DGuhr,Lancetnik,1,1
DGuhr,ToddSegal,1,1
DGuhr,vinoo999,1,1
DJ-os,amye,1,5
DJ-os,arislan-lilo,1,2
DJ-os,egor-baranov,1,2
DJ-os,fhinkel,1,1
DJ-os,guglielmo-san,1,1
DJ-os,iliesicatrinel,1,3
DJ-os,ishymko,1,4
DJ-os,lukehinds,1,1
DJ-os,zoujie-ee,1,1
DL1231,amye,1,1
DL1231,ishymko,1,1
DL1231,lukehinds,1,1
DiTo97,amye,1,1
DiTo97,bobtista,1,1
DiTo97,bparees,1,1
DiTo97,justfalter,1,1
DiTo97,nvcnvn,1,1
DiTo97,richardanaya,1,1
DiTo97,swapydapy,1,1
DracoBlue,cdavernas,1,3
DracoBlue,gagb,1,1
DracoBlue,mcglabs,1,2
DracoBlue,sfitts,1,1
EditUndo,Lancetnik,1,3
EditUndo,ToddSegal,1,4
EditUndo,amye,1,4
EditUndo,bobtista,1,2
EditUndo,bparees,1,1
EditUndo,cdavernas,1,4
EditUndo,joshhalley,1,2
EditUndo,justfalter,1,1
EditUndo,lukehinds,1,6
EditUndo,nvcnvn,1,1
EditUndo,richardanaya,1,1
EditUndo,sfitts,1,2
EditUndo,swapydapy,1,5
EditUndo,vinoo999,1,5
EditUndo,vishalmysore,1,6
EditUndo,xtrasmal,1,2
Eggrolling-hu,Emilmeister,1,1
Eggrolling-hu,Realsid,1,1
Eggrolling-hu,ReubenBond,1,1
Eggrolling-hu,RobinQu,1,1
Eggrolling-hu,SteveJamesDev,1,1
Eggrolling-hu,Tehsmash,1,1
Eggrolling-hu,alanyst,1,1
Eggrolling-hu,alexec,1,1
Eggrolling-hu,austin-tral,1,1
Eggrolling-hu,benclarkeio,1,1
Eggrolling-hu,darrelmiller,1,1
Eggrolling-hu,didier-durand,1,1
Eggrolling-hu,edenreich,1,1
Eggrolling-hu,f,1,1
Eggrolling-hu,herczyn,1,1
Eggrolling-hu,holtskinner,1,1
Eggrolling-hu,inesmcm26,1,1
Eggrolling-hu,izzymsft,1,1
Eggrolling-hu,laurentsimon,1,1
Eggrolling-hu,leavez,1,1
Eggrolling-hu,lkawka,1,1
Eggrolling-hu,lukehinds,1,1
Eggrolling-hu,madankumarpichamuthu,1,1
Eggrolling-hu,maeste,1,1
Eggrolling-hu,matoushavlena,1,1
Eggrolling-hu,mikeas1,1,1
