actor_a,actor_b,weight,shared
Cyberpaisa,Marco-MetaMask,1,2
Cyberpaisa,MarcoMetaMask,1,1
Cyberpaisa,McOso,1,1
Cyberpaisa,Moshiii,1,1
Cyberpaisa,Nithin-Varma,1,1
Cyberpaisa,SumeetChougule,2,2
Cyberpaisa,VickyFu,1,1
Cyberpaisa,alftom,1,1
Cyberpaisa,azanux,1,1
Cyberpaisa,bransdotcom,1,1
Cyberpaisa,davidecrapis.eth,1,2
Cyberpaisa,denverbaumgartner,1,1
Cyberpaisa,felixnorden,2,2
Cyberpaisa,gpt3_eth,1,1
Cyberpaisa,hjs_foundation,1,1
Cyberpaisa,jdutreve,1,1
Cyberpaisa,kinglouis,1,1
Cyberpaisa,mlegls,1,1
Cyberpaisa,nuhgid,1,1
Cyberpaisa,peersky,1,1
Cyberpaisa,soispoke,1,1
Cyberpaisa,spengrah,1,1
Cyberpaisa,ten-io-meta,1,1
Cyberpaisa,tim-cotten,1,1
Cyberpaisa,treza-labs,1,1
Cyberpaisa,vkpatva,1,1
Cyberpaisa,xiaowh7,1,1
Cyberpaisa,zonu,1,1
Marco-MetaMask,MarcoMetaMask,1,1
Marco-MetaMask,McOso,1,1
Marco-MetaMask,Metanize,1,1
Marco-MetaMask,Moshiii,1,2
Marco-MetaMask,SumeetChougule,1,2
Marco-MetaMask,azanux,1,2
Marco-MetaMask,bransdotcom,1,2
Marco-MetaMask,daniel-ospina,1,1
Marco-MetaMask,felixnorden,1,2
Marco-MetaMask,hjs_foundation,1,1
Marco-MetaMask,pcarranzav,1,2
Marco-MetaMask,vkpatva,1,1
Marco-MetaMask,voidcenter,1,1
MarcoMetaMask,McOso,1,1
MarcoMetaMask,SumeetChougule,2,2
MarcoMetaMask,azanux,1,1
MarcoMetaMask,bransdotcom,1,1
MarcoMetaMask,felixnorden,1,1
MarcoMetaMask,hjs_foundation,1,1
MarcoMetaMask,pcarranzav,1,1
MarcoMetaMask,vkpatva,1,1
McOso,SumeetChougule,1,1
McOso,azanux,1,1
McOso,bransdotcom,1,1
McOso,felixnorden,1,1
McOso,hjs_foundation,1,1
McOso,vkpatva,1,1
Metanize,Moshiii,1,1
Metanize,voidcenter,1,1
Moshiii,Nithin-Varma,1,1
Moshiii,SumeetChougule,1,1
Moshiii,VickyFu,1,1
Moshiii,alftom,1,1
Moshiii,davidecrapis.eth,1,1
Moshiii,denverbaumgartner,1,1
