actor_a,actor_b,weight,shared
0xkoiner,MidnightLightning,1,1
0xkoiner,Spaded,1,1
0xkoiner,aurous37-lang,1,1
0xkoiner,kevzzsk,1,1
0xkoiner,lightclient,1,1
0xkoiner,myuksal,1,1
0xkoiner,pcarranzav,1,1
0xvimer,MidnightLightning,1,1
0xvimer,Spaded,1,1
0xvimer,aurous37-lang,1,1
0xvimer,kevzzsk,1,1
0xvimer,lightclient,1,2
0xvimer,myuksal,1,1
0xvimer,pcarranzav,1,1
Aboudjem,MidnightLightning,1,1
Aboudjem,Spaded,1,1
Aboudjem,aurous37-lang,1,1
Aboudjem,kevzzsk,1,1
Aboudjem,lightclient,1,1
Aboudjem,myuksal,1,1
Aboudjem,pcarranzav,1,1
Ankita.eth,MidnightLightning,1,1
Ankita.eth,Spaded,1,1
Ankita.eth,aurous37-lang,1,1
Ankita.eth,kevzzsk,1,1
Ankita.eth,lightclient,1,1
Ankita.eth,myuksal,1,1
Ankita.eth,pcarranzav,1,1
Arifa,MidnightLightning,1,1
Arifa,Spaded,1,1
Arifa,aurous37-lang,1,1
Arifa,kevzzsk,1,1
Arifa,lightclient,1,1
Arifa,myuksal,1,1
Arifa,pcarranzav,1,1
Bakugo32,MidnightLightning,1,1
Bakugo32,Spaded,1,1
Bakugo32,aurous37-lang,1,1
Bakugo32,kevzzsk,1,1
Bakugo32,lightclient,1,2
Bakugo32,myuksal,1,1
Bakugo32,pcarranzav,1,1
BitmineMarine,MidnightLightning,1,1
BitmineMarine,Spaded,1,1
BitmineMarine,aurous37-lang,1,1
BitmineMarine,kevzzsk,1,1
BitmineMarine,lightclient,1,1
BitmineMarine,myuksal,1,1
BitmineMarine,pcarranzav,1,1
Brooks1003,MidnightLightning,1,1
Brooks1003,Spaded,1,1
Brooks1003,aurous37-lang,1,1
Brooks1003,kevzzsk,1,1
Brooks1003,lightclient,1,1
Brooks1003,myuksal,1,1
Brooks1003,pcarranzav,1,1
Clavote,MidnightLightning,1,1
Clavote,Spaded,1,1
Clavote,aurous37-lang,1,1
Clavote,kevzzsk,1,1
Clavote,lightclient,1,1
Clavote,myuksal,1,1
Clavote,pcarranzav,1,1
Cloriskitty,MidnightLightning,1,1
Cloriskitty,Spaded,1,1
Cloriskitty,aurous37-lang,1,1
Cloriskitty,kevzzsk,1,1
Cloriskitty,lightclient,1,1
Cloriskitty,myuksal,1,1
Cloriskitty,pcarranzav,1,1
CodySearsOS,MidnightLightning,1,1
CodySearsOS,Spaded,1,1
CodySearsOS,aurous37-lang,1,1
CodySearsOS,kevzzsk,1,1
CodySearsOS,lightclient,1,1
CodySearsOS,myuksal,1,1
CodySearsOS,pcarranzav,1,1
Copilot,MidnightLightning,1,1
Copilot,Spaded,1,1
Copilot,aurous37-lang,1,1
Copilot,kevzzsk,1,1
Copilot,lightclient,1,2
Copilot,myuksal,1,1
Copilot,pcarranzav,1,1
Cybercentry,MidnightLightning,1,1
Cybercentry,Spaded,1,1
Cybercentry,aurous37-lang,1,1
Cybercentry,kevzzsk,1,1
Cybercentry,lightclient,1,2
Cybercentry,myuksal,1,1
Cybercentry,pcarranzav,1,1
Cyberpaisa,MidnightLightning,1,1
Cyberpaisa,Spaded,1,1
Cyberpaisa,aurous37-lang,1,1
Cyberpaisa,kevzzsk,1,1
Cyberpaisa,lightclient,1,1
Cyberpaisa,myuksal,1,1
Cyberpaisa,pcarranzav,1,1
Damonzwicker,MidnightLightning,1,1
Damonzwicker,Spaded,1,1
Damonzwicker,aurous37-lang,1,1
Damonzwicker,kevzzsk,1,1
Damonzwicker,lightclient,1,2
Damonzwicker,myuksal,1,1
Damonzwicker,pcarranzav,1,1
DanielVF,MidnightLightning,1,1
DanielVF,Spaded,1,1
DanielVF,aurous37-lang,1,1
DanielVF,kevzzsk,1,1
DanielVF,lightclient,1,1
DanielVF,myuksal,1,1
DanielVF,pcarranzav,1,1
Dawe000,MidnightLightning,1,1
Dawe000,Spaded,1,1
