actor_a,actor_b,weight,shared
0xTomDaniel,FoolishDreamer,1,1
0xTomDaniel,GeunCheolOh,1,1
0xTomDaniel,MaoJianwei,1,1
0xTomDaniel,abdibrokhim,1,1
0xTomDaniel,arislan-lilo,1,1
0xTomDaniel,bkowal,1,1
0xTomDaniel,bparees,1,1
0xTomDaniel,buithehai1994,1,1
0xTomDaniel,dukeren,1,1
0xTomDaniel,hamidra,1,1
0xTomDaniel,justfalter,1,1
0xTomDaniel,liar666,1,1
0xTomDaniel,lrosenthol,1,1
0xTomDaniel,mbleigh,1,1
0xTomDaniel,vladkol,1,1
0xTomDaniel,wenwenc9,1,1
0xTomDaniel,xiongwenxin123,1,1
0xTomDaniel,ysxu666,1,1
101scholar,FoolishDreamer,1,1
101scholar,GeunCheolOh,1,1
101scholar,MaoJianwei,1,1
101scholar,abdibrokhim,1,1
101scholar,arislan-lilo,1,1
101scholar,bkowal,1,1
101scholar,bparees,1,1
101scholar,buithehai1994,1,1
101scholar,dukeren,1,1
101scholar,hamidra,1,1
101scholar,justfalter,1,1
101scholar,liar666,1,1
101scholar,lrosenthol,1,1
101scholar,mbleigh,1,1
101scholar,vladkol,1,1
101scholar,wenwenc9,1,1
101scholar,xiongwenxin123,1,1
101scholar,ysxu666,1,1
11Warrior,binbandit,1,1
11Warrior,ishymko,1,1
3nsai,binbandit,1,1
3nsai,ishymko,1,1
AIXerum,FoolishDreamer,1,1
AIXerum,GeunCheolOh,1,1
AIXerum,MaoJianwei,1,1
AIXerum,abdibrokhim,1,1
AIXerum,arislan-lilo,1,1
AIXerum,bkowal,1,1
AIXerum,bparees,1,1
AIXerum,buithehai1994,1,1
AIXerum,dukeren,1,1
AIXerum,hamidra,1,1
AIXerum,justfalter,1,1
AIXerum,liar666,1,1
AIXerum,lrosenthol,1,1
AIXerum,mbleigh,1,1
AIXerum,vladkol,1,1
AIXerum,wenwenc9,1,1
AIXerum,xiongwenxin123,1,1
AIXerum,ysxu666,1,1
AdarPeleg,FoolishDreamer,1,1
AdarPeleg,GeunCheolOh,1,1
AdarPeleg,MaoJianwei,1,1
AdarPeleg,abdibrokhim,1,1
AdarPeleg,arislan-lilo,1,1
AdarPeleg,bkowal,1,1
AdarPeleg,bparees,1,1
AdarPeleg,buithehai1994,1,1
AdarPeleg,dukeren,1,1
AdarPeleg,hamidra,1,1
AdarPeleg,justfalter,1,1
AdarPeleg,liar666,1,1
