actor_a,actor_b,weight,shared
0xkoiner,0xvimer,1,1
0xkoiner,Aboudjem,1,1
0xkoiner,Ankita.eth,1,1
0xkoiner,Arifa,1,1
0xkoiner,Bakugo32,1,1
0xkoiner,BitmineMarine,1,1
0xkoiner,Brooks1003,1,1
0xkoiner,Clavote,1,1
0xkoiner,Cloriskitty,1,1
0xkoiner,CodySearsOS,1,1
0xkoiner,Copilot,1,1
0xkoiner,Cybercentry,1,1
0xkoiner,Cyberpaisa,1,1
0xkoiner,Damonzwicker,1,1
0xkoiner,DanielVF,1,1
0xkoiner,Dawe000,1,1
0xkoiner,Delaube923,1,1
0xkoiner,DerDoPhil,1,1
0xkoiner,Eth,1,1
0xkoiner,Fran23,1,1
0xkoiner,GerardoTaboada,1,1
0xkoiner,GhostAgent,1,1
0xkoiner,HermesSubstrate,1,1
0xkoiner,JackyWang,1,1
0xkoiner,JhiNResH,1,1
0xkoiner,JimmyShi22,1,1
0xkoiner,KBryan,1,1
0xkoiner,Ludovico.r,1,1
0xkoiner,Marco-MetaMask,1,1
0xkoiner,MarcoMetaMask,1,1
0xkoiner,McOso,1,1
0xkoiner,MeltedMindz,1,1
0xkoiner,Metanize,1,1
0xkoiner,MichaelWinczuk,1,1
0xkoiner,Moshiii,1,1
0xkoiner,Nicopat,1,1
0xkoiner,Panini,1,1
0xkoiner,RNWY,1,1
0xkoiner,SamWilsn,1,1
0xkoiner,Sentinel,1,1
0xkoiner,Sparksss,1,1
0xkoiner,SumeetChougule,1,1
0xkoiner,SynergeticsAI,1,1
0xkoiner,TENNKN,1,1
0xkoiner,TMerlini,1,1
0xkoiner,ThoughtProof,1,1
0xkoiner,Traciecmyers,1,1
0xkoiner,Trishir,1,1
0xkoiner,TruthAnchor-AI,1,1
0xkoiner,Valisthea,1,1
0xkoiner,VickyFu,1,1
0xkoiner,VincentWu,1,1
0xkoiner,VrilLabs,1,1
0xkoiner,Zhesima,1,1
0xkoiner,abcoathup,1,1
0xkoiner,agentauditAI,1,1
0xkoiner,ai-virtual-b,1,1
0xkoiner,alexchenai,1,1
0xkoiner,alftom,1,1
0xkoiner,ant,1,1
0xkoiner,arnieleibnichts,1,1
0xkoiner,assaylabs,1,1
0xkoiner,azanux,1,1
0xkoiner,babyblueviper1,1,1
0xkoiner,beau,1,1
0xkoiner,bomanaps,1,1
0xkoiner,bransdotcom,1,1
0xkoiner,brienteth,1,1
0xkoiner,cadenceprotocol,1,1
0xkoiner,clavote-boop,1,1
0xkoiner,clawplaza,1,1
0xkoiner,cmayorga,1,1
0xkoiner,cody,1,1
0xkoiner,comeToThinkOfEth,1,1
0xkoiner,damonzwicker,1,1
0xkoiner,davidecrapis.eth,1,1
0xkoiner,dcrapis,1,1
0xkoiner,debug-0,1,1
0xkoiner,deiu,1,1
0xkoiner,denverbaumgartner,1,1
0xkoiner,dievardump,1,1
0xkoiner,douglasborthwick-cry,1,1
0xkoiner,douglasborthwick-crypto,1,1
0xkoiner,drmattbarney,1,1
0xkoiner,ernestognw,1,1
0xkoiner,felixnorden,1,1
0xkoiner,freaks,1,1
0xkoiner,gilbertsahumada,1,1
0xkoiner,gpt3_eth,1,1
0xkoiner,hjs_foundation,1,1
0xkoiner,ibonon,1,1
0xkoiner,jdutreve,1,1
0xkoiner,jithinraj,1,1
0xkoiner,jkm.eth,1,1
0xkoiner,joanna,1,1
0xkoiner,jochem-brouwer,1,1
0xkoiner,jonmross,1,1
0xkoiner,kgyashupal,1,1
0xkoiner,khemiriwalid,1,1
0xkoiner,kimbo128,1,1
0xkoiner,kinglouis,1,1
0xkoiner,leonprou,1,1
0xkoiner,lisenokdonbassenok,1,1
0xkoiner,mac,1,1
0xkoiner,maceip,1,1
0xkoiner,matevz-oasis,1,1
0xkoiner,mgrabina,1,1
0xkoiner,michaelwinczuk,1,1
0xkoiner,micheda,1,1
0xkoiner,mike-diamond,1,1
0xkoiner,miratisu,1,1
0xkoiner,mlegls,1,1
0xkoiner,mrocker,1,1
0xkoiner,mruderman,1,1
0xkoiner,mruderman1,1,1
0xkoiner,nabil-brickken,1,1
0xkoiner,nftprof,1,1
0xkoiner,nicobernad,1,1
0xkoiner,node0,1,1
0xkoiner,noemiplatform,1,1
0xkoiner,nuhgid,1,1
0xkoiner,nxt3d,1,1
0xkoiner,opwizardx,1,1
0xkoiner,orgtrust.eth,1,1
0xkoiner,pablocactus,1,1
0xkoiner,peersky,1,1
0xkoiner,phiraml,1,1
0xkoiner,pipavlo82,1,1
0xkoiner,qinwang-git,1,1
0xkoiner,rithikha,1,1
0xkoiner,riza,1,1
0xkoiner,ryanberckmans,1,1
0xkoiner,ryanio,1,1
0xkoiner,sariknanaki,1,1
0xkoiner,sarkazein,1,1
0xkoiner,sebastianwall,1,1
0xkoiner,skilesare,1,1
0xkoiner,smolfren,1,1
0xkoiner,soispoke,1,1
0xkoiner,spengrah,1,1
0xkoiner,sterlingcrispin,1,1
0xkoiner,system,1,1
0xkoiner,tantodefi,1,1
