actor_a,actor_b,weight,shared
0xTomDaniel,3nsai,1,1
0xTomDaniel,CHARLIE1210-A,1,1
0xTomDaniel,Copilot,1,1
0xTomDaniel,DracoBlue,1,1
0xTomDaniel,EditUndo,1,1
0xTomDaniel,HungYangChang,1,1
0xTomDaniel,Kludex,1,1
0xTomDaniel,Linux2010,1,1
0xTomDaniel,MoonRendering,1,1
0xTomDaniel,ReubenBond,1,1
0xTomDaniel,Roye-Wy,1,1
0xTomDaniel,SecureAgentTools,1,1
0xTomDaniel,SergeyMenshykh,1,1
0xTomDaniel,StevenJohnson998,1,1
0xTomDaniel,Tehsmash,1,1
0xTomDaniel,The-Nexus-Guard,1,1
0xTomDaniel,ThierryThevenet,1,1
0xTomDaniel,ToddSegal,1,1
0xTomDaniel,XiHeee,1,1
0xTomDaniel,abiramit5,1,1
0xTomDaniel,adarshnarayanhegde,1,1
0xTomDaniel,adv-11,1,1
0xTomDaniel,aimable100,1,1
0xTomDaniel,ajaynagotha,1,1
0xTomDaniel,akdong91,1,1
0xTomDaniel,alexbainbridge,1,1
0xTomDaniel,alextibbles,1,1
0xTomDaniel,andorsk,1,1
0xTomDaniel,automateyournetwork,1,1
0xTomDaniel,awickham10,1,1
0xTomDaniel,barnendu,1,1
0xTomDaniel,beonde,1,1
0xTomDaniel,blkt,1,1
0xTomDaniel,chorghemaruti64-creator,1,1
0xTomDaniel,cled,1,1
0xTomDaniel,daavoo,1,1
0xTomDaniel,darkhaniop,1,1
0xTomDaniel,darrelmiller,1,1
0xTomDaniel,dgenio,1,1
0xTomDaniel,didier-durand,1,1
0xTomDaniel,edenreich,1,1
0xTomDaniel,eli-osherovich,1,1
0xTomDaniel,git-vote,1,1
0xTomDaniel,gpanakkal,1,1
0xTomDaniel,guglielmo-san,1,1
0xTomDaniel,harris2012,1,1
0xTomDaniel,herczyn,1,1
0xTomDaniel,holtskinner,1,1
0xTomDaniel,iliesicatrinel,1,1
0xTomDaniel,jmandel,1,1
0xTomDaniel,jmesnil,1,1
0xTomDaniel,joepvgenuchten,1,1
0xTomDaniel,joshhalley,1,1
0xTomDaniel,kabir,1,1
0xTomDaniel,kadirpekel,1,1
0xTomDaniel,kdenhartog,1,1
0xTomDaniel,knuckles-stack,1,1
0xTomDaniel,kthota-g,1,1
0xTomDaniel,kurt-r2c,1,1
0xTomDaniel,laurentsimon,1,1
0xTomDaniel,lj-raidiam,1,1
0xTomDaniel,logan-markewich,1,1
0xTomDaniel,loganaden,1,1
0xTomDaniel,lukehinds,1,1
0xTomDaniel,madankumarpichamuthu,1,1
0xTomDaniel,maeste,1,1
0xTomDaniel,marelab,1,1
0xTomDaniel,matoushavlena,1,1
0xTomDaniel,maxbrokman,1,1
0xTomDaniel,mcglabs,1,1
0xTomDaniel,mempirate,1,1
0xTomDaniel,mikeas1,1,1
0xTomDaniel,mindpower,1,1
0xTomDaniel,mjunaidca,1,1
0xTomDaniel,msardara,1,1
0xTomDaniel,muscariello,1,1
0xTomDaniel,muthub-ai,1,1
0xTomDaniel,nvcnvn,1,1
