author,n_comments,n_themes,entropy,gini,top_theme,stakeholder_institution
holtskinner,357,4,1.1449602907029945,0.6016806722689076,T01_Technical,Google
darrelmiller,281,3,0.9607339134708754,0.6804270462633453,T01_Technical,Google A2A
ognis1205,151,4,1.170890949756336,0.6357615894039736,T01_Technical,ACP
kthota-g,124,2,0.9235785996175947,0.6645161290322581,T01_Technical,Google
Tehsmash,103,3,0.7761657190257949,0.7184466019417477,T01_Technical,Independent
pstephengoogle,93,3,0.7912211865649786,0.713978494623656,T01_Technical,Google
mikeas1,79,2,0.4318049942752078,0.7645569620253165,T01_Technical,Google
darkhaniop,68,3,0.9771064011533365,0.6705882352941177,T01_Technical,Independent
yarolegovich,61,2,0.34918437350730797,0.7737704918032788,T01_Technical,Independent
swapydapy,49,3,0.7149757169489891,0.726530612244898,T01_Technical,Google
chorghemaruti64-creator,48,2,0.1460942501201363,0.7916666666666667,T01_Technical,Independent
zeroasterisk,43,3,1.136094248732146,0.586046511627907,T01_Technical,OpenClaw
amye,42,3,0.530980922468767,0.7523809523809524,T02_Process,Google
muscariello,41,3,1.0767129416796726,0.6439024390243904,T01_Technical,Google A2A
rajeshvelicheti,37,2,0.9867867202680318,0.6270270270270271,T01_Technical,rajeshvelicheti
vishalmysore,37,1,0.0,0.8,T01_Technical,Google A2A governance
izzymsft,33,2,0.7990485210442682,0.7030303030303031,T01_Technical,Google A2A
lukehinds,32,4,1.3548425676587292,0.6000000000000001,T01_Technical,GitHub
edenreich,31,2,0.869137580612638,0.6838709677419355,T01_Technical,Independent
maeste,31,3,0.7538275145266042,0.7225806451612904,T01_Technical,Independent
vinoo999,30,3,0.9851717468169149,0.6799999999999999,T01_Technical,GitHub A2A
whitlockjc,30,2,0.5665095065529053,0.7466666666666668,T01_Technical,Google A2A
imran-siddique,27,3,0.908653933541588,0.6962962962962964,T01_Technical,Independent
herczyn,27,2,0.5032583347756457,0.7555555555555555,T01_Technical,Google
didier-durand,26,2,0.7793498372920851,0.7076923076923078,T01_Technical,Unknown
git-vote,25,2,0.5293608652873644,0.752,T02_Process,GitHub A2A
dmandar,24,2,0.8112781244591328,0.7,T01_Technical,Independent
abiramit5,23,3,1.1625633078480364,0.6260869565217391,T02_Process,Independent
madankumarpichamuthu,22,2,0.43949698692151334,0.7636363636363637,T01_Technical,Independent
robert-at-pretension-io,22,3,0.699857857026928,0.7272727272727273,T01_Technical,GitHub user
moonbox3,21,2,0.9852281360342515,0.6285714285714286,T01_Technical,Google A2A
EditUndo,20,3,0.747584679824574,0.72,T01_Technical,artinet-project
Linux2010,20,2,0.9340680553754911,0.6600000000000001,T01_Technical,Community Contributor
whysage,20,2,0.8112781244591328,0.7,T01_Technical,Independent
djsamseng,19,2,0.7424875695421236,0.7157894736842105,T01_Technical,Independent
The-Nexus-Guard,19,1,0.0,0.8,T01_Technical,Independent
ToddSegal,18,2,0.964078764808229,0.6444444444444446,T01_Technical,Google A2A
ishymko,16,2,0.5435644431995964,0.75,T01_Technical,Google
matoushavlena,15,2,0.9182958340544894,0.6666666666666667,T01_Technical,Google A2A
alexec,15,2,0.3533593350214213,0.7733333333333334,T01_Technical,GitHub A2A
c-mysec,15,1,0.0,0.8,T01_Technical,Google A2A
gijswalraven,15,2,0.5665095065529053,0.7466666666666668,T01_Technical,Independent
SecureAgentTools,15,3,0.9055872616982602,0.6933333333333334,T01_Technical,Independent
benclarkeio,14,3,1.0949143184120973,0.6571428571428573,T01_Technical,benclarkeio
ai-boost,13,3,1.2957378005380122,0.5846153846153848,T02_Process,ai-boost
