author,T01_Technical,T02_Process,T03_Governance,T04_Economic,T05_Off_topic
0xkoiner,1,0,0,0,0
0xvimer,7,5,0,0,0
Aboudjem,16,0,0,0,0
Ankita.eth,1,0,0,0,0
Arifa,1,0,0,0,0
Bakugo32,65,15,0,0,0
BitmineMarine,1,0,0,0,0
Brooks1003,2,0,0,0,0
CertifiedCryp,0,0,0,1,0
Clavote,5,0,0,0,0
Cloriskitty,1,0,0,0,0
CodySearsOS,1,0,0,0,0
Copilot,15,1,0,0,0
Cybercentry,26,66,0,0,0
Cyberpaisa,3,0,0,0,0
CypherVae,0,1,0,0,0
Damonzwicker,49,5,0,0,0
DanielVF,1,0,0,0,0
Dawe000,1,0,0,0,0
Delaube923,1,0,0,0,0
DerDoPhil,1,0,0,0,0
Eth,1,0,0,0,0
Fran23,2,0,0,0,0
Frank122480,1,0,0,0,0
GerardoTaboada,1,0,0,0,0
GhostAgent,1,0,1,0,0
HElloodjfbfssadfed,0,0,0,1,0
HermesSubstrate,2,0,0,0,0
JackyWang,26,5,0,0,0
JhiNResH,1,0,0,0,0
JimmyShi22,30,4,0,0,0
KBryan,13,9,0,0,0
Ludovico.r,6,0,0,0,0
Marco-MetaMask,9,0,1,1,0
MarcoMetaMask,2,2,0,0,0
McOso,1,0,0,0,0
MeltedMindz,1,0,0,0,0
Metanize,2,0,0,0,0
MichaelWinczuk,1,0,0,0,0
MidnightLightning,2,0,0,0,0
Moshiii,2,0,0,0,0
Nicopat,34,5,0,0,0
Nithin-Varma,1,0,0,1,0
OoXooOx,1,0,0,0,0
Panini,12,0,0,0,0
RNWY,14,1,2,0,1
SamWilsn,68,59,2,0,0
Sentinel,1,0,0,0,0
Spaded,1,0,0,0,0
Sparksss,1,0,0,0,0
SumeetChougule,5,0,0,0,0
SynergeticsAI,1,0,0,0,0
TENNKN,1,0,0,0,0
TMerlini,124,5,0,0,0
ThoughtProof,48,5,0,0,0
Traciecmyers,5,1,0,0,0
TrendAdmin,0,0,1,0,0
Trishir,3,0,0,1,0
TruthAnchor-AI,3,4,0,0,0
Valisthea,1,0,0,0,0
VickyFu,1,0,0,0,0
VincentWu,22,2,0,0,0
VrilLabs,1,0,0,0,0
Walodja1987,0,0,1,0,0
Zhesima,2,0,0,0,0
abcoathup,10,78,1,0,0
agentauditAI,2,0,0,0,0
ai-virtual-b,1,0,0,0,0
alexchenai,1,0,0,0,0
alftom,1,0,0,0,0
ant,1,0,0,0,0
arnieleibnichts,1,0,0,0,0
assaylabs,3,0,0,0,0
aurous37-lang,2,0,0,0,0
azanux,4,0,0,0,0
babyblueviper1,26,0,0,0,0
beau,2,1,0,0,0
blackalbino01,1,1,0,0,0
blambuer10,1,0,0,0,0
bomanaps,1,0,0,0,0
bransdotcom,8,0,0,0,0
brienteth,2,2,0,0,0
cadenceprotocol,6,0,0,0,0
clavote-boop,3,2,0,0,0
clawplaza,5,0,0,0,0
cmayorga,20,2,0,0,0
cody,5,0,0,0,0
comeToThinkOfEth,1,0,0,0,0
craigbranscom,1,2,0,0,0
curtisdow1973-sys,1,0,0,0,0
damonzwicker,4,0,0,0,0
daniel-ospina,1,0,1,0,0
davidecrapis.eth,7,0,1,0,0
dcbuild3r,1,0,0,0,0
dcrapis,2,3,0,0,0
debug-0,4,0,0,0,0
deiu,5,1,0,0,0
denverbaumgartner,2,0,0,0,0
dievardump,1,0,0,0,0
douglasborthwick-cry,4,0,0,0,0
douglasborthwick-crypto,2,0,0,0,0
drmattbarney,3,0,0,0,0
ernestognw,1,0,0,0,0
felixnorden,5,0,0,0,0
freaks,1,0,0,0,0
fulldecent,0,1,0,0,0
gilbertsahumada,2,1,0,0,0
gpt3_eth,2,0,0,0,0
hjs_foundation,1,0,0,0,0
ibonon,10,1,0,0,0
jdutreve,1,0,0,0,0
jithinraj,1,0,0,0,0
jkm.eth,4,0,0,0,0
joanna,1,0,0,0,0
jochem-brouwer,24,4,0,0,0
jonmross,5,7,0,0,0
jqhc,1,0,0,0,0
kevzzsk,1,0,0,0,0
kgyashupal,1,0,0,0,0
khemiriwalid,1,0,0,0,0
kimbo128,4,0,0,0,0
kimomon,0,1,0,0,0
kinglouis,1,0,0,0,0
lejuho,1,0,0,0,0
leonprou,1,0,0,0,0
lightclient,2,1,0,0,0
lisenokdonbassenok,1,0,0,0,0
mac,1,0,0,0,0
maceip,2,0,0,0,0
matevz-oasis,3,0,0,0,0
mgrabina,1,0,0,0,0
michaelwinczuk,2,4,0,0,0
micheda,1,0,0,0,0
mike-diamond,12,0,0,0,0
miratisu,9,1,0,0,0
