author,T01_Technical,T02_Process,T03_Governance,T04_Economic,T05_Off_topic
0xTomDaniel,1,0,0,0,0
101scholar,3,0,0,0,0
11Warrior,0,1,0,0,0
1GZW1,1,0,0,0,0
3nsai,0,1,0,0,0
AIXerum,1,0,0,0,0
AdarPeleg,2,0,0,0,0
AlbumenJ,3,1,0,0,0
AlexanderShenshin,2,0,0,0,0
AlexsJones,3,1,0,0,0
AliMuhammadOfficial,1,0,0,0,0
AlokRanjanSwain,3,0,0,0,0
AndrewPanB,1,0,0,0,0
AndyStan112,0,1,0,0,0
Areo-Joe,2,0,0,0,0
AshuJoshi,1,0,0,0,0
Bill-XU,2,0,0,0,0
Boburmirzo,1,0,0,0,0
CAG-nolan,1,1,0,0,0
CHARLIE1210-A,7,5,0,0,0
CZH-THU,5,0,0,0,0
CakeCrusher,4,1,0,0,0
Camusama,1,0,0,0,0
Copilot,6,1,0,0,0
Crokily,0,0,0,0,1
DGuhr,2,0,0,0,0
DJ-os,2,11,0,0,0
DL1231,0,1,0,0,0
DavidMaister,1,0,0,0,0
DiTo97,1,0,0,0,0
DinoChiesa,1,0,0,0,0
Do-tech-ai,1,0,0,0,0
DracoBlue,8,1,0,0,0
EditUndo,17,2,1,0,0
Eggrolling-hu,1,0,0,0,0
Einsfier,1,0,0,0,0
EliasLumer,1,0,0,0,0
Emilmeister,1,0,0,0,0
FailedNamed,1,0,0,0,0
Fannon,8,1,0,0,0
FoolishDreamer,1,0,0,0,0
Francosimon53,1,0,0,0,0
Frankdog,3,0,0,0,0
GeunCheolOh,1,0,0,0,0
Gioxxy,1,0,0,0,0
Guidosalimbeni,1,0,0,0,0
HV9903,1,0,0,0,0
HadjievK,2,0,0,0,0
HaohanTsao,3,0,0,0,0
HeetVekariya,8,3,0,0,0
Hekafin,1,0,0,0,0
HomeroRR,4,0,0,0,0
HungYangChang,3,1,0,0,0
IhateCreatingUserNames2,3,1,0,0,0
Ivanye2509,1,0,0,0,0
JKHeadley,9,0,0,0,0
JMLX42,1,0,0,0,0
JadenHuang2023,2,0,0,0,0
Jai0401,1,0,0,0,0
Jaland,0,1,0,0,0
JanPokorny,1,0,0,0,0
JayBhadiyadraInstanceIT,3,0,0,0,0
JeremyFan,2,0,0,0,0
JeromeOvO,4,0,0,0,0
JerryDaHeLian,1,0,0,0,0
JetsettingJames,1,0,0,0,0
JinyongShin,1,0,0,0,0
Joapfel,1,0,0,0,0
KanchiShimono,1,0,0,0,0
Kevin1466,5,0,0,0,0
KiteSoar,1,0,0,0,0
Kludex,0,1,1,0,0
KomachiSion,8,0,0,0,0
KrshnKush,3,2,0,0,0
LI-Jinyang,2,0,0,0,0
Lancetnik,10,1,0,0,0
LingJingMaster,6,0,0,0,0
Linux2010,13,7,0,0,0
LordOfBug,1,0,0,0,0
LucaButBoring,2,0,0,0,0
LuckyLaochou,1,1,0,0,0
MG1-4,5,1,0,0,0
MaoJianwei,1,0,0,0,0
MaryamZi,1,0,0,0,0
Meir017,0,2,0,0,0
MengJiapeng,3,0,0,0,0
Midnight-719,2,0,0,0,0
Miku-Kogane,1,0,0,0,0
Mocuto,2,1,0,0,0
MoonRendering,2,0,0,0,0
MrChengmo,1,0,0,0,0
NavtejMAQ,3,0,0,0,0
OyaAIProd,4,1,2,0,0
Paulchen5,1,1,1,0,0
Phil-Hills,5,1,0,0,0
PierreVannier,1,0,0,0,0
PoolDad-Legal,1,0,0,0,0
Pray4Love1,1,0,0,0,0
QuantumDaveLdn,1,1,0,0,0
RIKTESH89,1,0,0,0,0
Realsid,2,2,0,0,0
Renator13,2,0,0,0,0
ReubenBond,4,0,0,0,0
RobinQu,3,0,0,0,0
RoyAmitabh,1,0,0,0,0
Roye-Wy,1,0,0,0,0
RubberGoose246,1,1,0,0,0
SecretiveShell,1,0,0,0,0
SecureAgentTools,12,1,2,0,0
SellJamHere,1,0,0,0,0
SergeyMenshykh,1,1,0,0,0
ShayakSarkar,1,0,0,0,0
SimplyKnownAsG,1,0,0,0,0
Starborn,1,0,0,0,0
SteveJamesDev,1,0,0,0,0
StevenJohnson998,1,0,1,0,0
TP9-dev,2,0,0,0,0
TangHui-Best,0,1,0,0,0
Tech-AML,1,1,0,0,0
Tehsmash,86,13,4,0,0
The-Nexus-Guard,19,0,0,0,0
ThierryThevenet,5,0,0,0,0
ToddSegal,11,7,0,0,0
Vidit-Ostwal,1,0,0,0,0
WaqasIshaque1,1,1,0,0,0
XiHeee,0,2,0,0,0
XiaoTianCan,1,0,0,0,0
Yoojkim,1,0,0,0,0
Yotaro111,0,1,0,0,0
YottaDev07,1,0,0,0,0
Yukinekoko,0,1,0,0,0
YuqingZhao,1,0,0,0,0
ZapzCsgo,3,0,0,0,0
Zephyr-Blessed,2,0,0,0,0
ZhiLiGod,2,0,0,0,0
Zinni98,1,0,0,0,0
a2a-bot,1,1,0,0,0
aCanalez,1,0,0,0,0
aamonten,1,1,0,0,0
aazizisoufiane,1,0,0,0,0
abdibrokhim,3,0,0,0,0
abhinav24jha,1,0,0,0,0
abiramit5,8,14,1,0,0
acensia,3,0,0,0,0
adarshnarayanhegde,3,1,0,0,0
adcentury,1,0,0,0,0
adsri,2,0,0,0,0
adv-11,1,0,0,0,0
aeoess,3,0,0,0,0
agenttrust,0,1,0,0,0
