author,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
0xTomDaniel,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101scholar,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1137043480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3nsai,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AIXerum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AdarPeleg,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
AlbumenJ,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
AlexanderShenshin,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlexsJones,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,1,0,0,0
AliMuhammadOfficial,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlokRanjanSwain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
AndrewPanB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AndyStan112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Areo-Joe,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
AshuJoshi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bill-XU,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Boburmirzo,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CAG-nolan,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CHARLIE1210-A,0,1,0,0,0,2,3,0,0,2,0,0,0,0,0,0,0,1,0
CSZHK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CZH-THU,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3
CakeCrusher,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0
Camusama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Copilot,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0
DGuhr,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
DJ-os,1,0,0,0,0,3,7,0,0,0,0,0,0,0,1,0,0,0,1
DL1231,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DavidMaister,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DiTo97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DinoChiesa,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Do-tech-ai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DracoBlue,0,1,0,1,2,0,1,0,0,0,2,0,1,0,0,0,0,0,0
EditUndo,0,0,5,0,2,1,2,1,0,0,0,0,0,0,0,0,1,1,0
Eggrolling-hu,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Einsfier,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
EliasLumer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emilmeister,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FailedNamed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fannon,0,0,5,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0
FoolishDreamer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francosimon53,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Frankdog,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
GeunCheolOh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gioxxy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Guidosalimbeni,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HV9903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HadjievK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
HaohanTsao,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HeetVekariya,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,4
HomeroRR,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HungYangChang,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0
IhateCreatingUserNames2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ivanye2509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
JKHeadley,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,0,0,0,0
JMLX42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JadenHuang2023,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Jai0401,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaland,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
JanPokorny,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
JayBhadiyadraInstanceIT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
JeremyFan,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
JeromeOvO,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
JerryDaHeLian,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JetsettingJames,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
JinyongShin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Joapfel,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KanchiShimono,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Kevin1466,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
KiteSoar,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kludex,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0
KomachiSion,1,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0
KrshnKush,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
LI-Jinyang,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Lancetnik,0,0,2,0,0,1,0,1,4,1,0,0,1,0,0,1,0,0,0
LingJingMaster,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,2
Linux2010,0,0,0,0,4,11,1,0,0,0,0,0,0,0,2,0,0,0,1
LoganDavidTalbot,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LordOfBug,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LucaButBoring,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LuckyLaochou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
MG1-4,0,0,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MaoJianwei,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meir017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MengJiapeng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Midnight-719,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miku-Kogane,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mocuto,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
MoonRendering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
MrChengmo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NavtejMAQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
OyaAIProd,0,1,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Paulchen5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
Phil-Hills,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0
PierreVannier,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PoolDad-Legal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pray4Love1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
QuantumDaveLdn,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIKTESH89,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Realsid,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Renator13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ReubenBond,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
RobinQu,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
RoyAmitabh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Roye-Wy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
RubberGoose246,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SecretiveShell,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SecureAgentTools,1,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SellJamHere,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SergeyMenshykh,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
